,displayName,id,onTourUntil
0,MGMT,137345,2019-11-22
1,T.I.,17879,
2,P!NK,9862999,2019-09-27
3,M.I.A.,493293,
4,AWOLNATION,2489666,
5,MOE.,183105,2019-11-16
6,MØ,139369,2019-08-30
7,YG,423082,2019-10-26
8,NERO,53462,2019-08-30
9,CHVRCHES,5933069,2019-11-30
10,NOFX,214756,2019-09-21
11,SZA,3352181,
12,INXS,161656,2019-12-22
13,LMFAO,767916,
14,ODESZA,6018139,
15,HAIM,503872,
16,R.E.M.,220219,
17,ZAYN,5200703,
18,BASSNECTAR,3201,2019-10-25
19,MARINA,9859379,2019-11-16
20,TLC,24214,2019-09-04
21,DMX,214342,2019-10-03
22,O.A.R.,168886,2019-12-14
23,SBTRKT,2607346,
24,BANKS,675567,2019-11-21
25,STRFKR,4438858,2019-10-01
26,P.O.D.,47905,2019-11-23
27,AFI,303621,2019-08-31
28,N.E.R.D.,387012,
29,SOJA,443638,2019-12-05
30,BTS,135912,
31,BØRNS,8239708,
32,LIGHTS,152123,
33,D.R.A.M.,80166,
34,PSY,357573,
35,N.W.A.,21972,
36,NERVO,1118443,2019-10-12
37,MXPX,239727,2019-11-23
38,DNCE,8633874,
39,MATOMA,8402103,2019-09-28
40,MONO,201140,2019-12-14
41,LANY,8376228,2019-10-12
42,ZHU,1183857,2019-10-25
43,HIM,338751,
44,MAX,1072686,2019-11-16
45,D.R.I.,500467,2019-12-12
46,YACHT,283646,
47,RAC,301329,2019-09-27
48,NF,249773,2020-03-19
49,CSS,187575,
0,Prince & The New Power Generation,405256,
1,New Power Generation,340831,2019-12-03
0,Eric Johnson,314604,2020-01-16
1,Eric D. Johnson,5697879,
2,Eric Johnson Electric Band,4261661,
3,Eric Johnson Band,5467328,
4,Eric K. Johnson,8001188,
5,Eric Johnson Quintet,9210724,
6,Eric D. Johnson Fruit Bats,5643409,
7,Eric Johnson at Harlow's,4373023,
8,Eric D. Johnson & Yellowbirds,7122969,
9,Eric D. Johnson of Fruit Bats,5876839,
10,Eric Johnson's Fabulous a Team,5199898,
11,Eric D. Johnson Fruit Bats & Andy Cabic Vetiver,5561563,
0,The Librarian,853314,2020-02-14
1,"The Librarian, El Papa Chango, PRSN, Kicks Modern at The Bluebird",9986059,
0,FKP Scorpio Norge AS,10005679,2020-03-04
0,For King and Country,4146721,2020-01-29
1,and For King and Country,8575989,
2,"plus For King and Country,",8575994,
0,Stick Figure,514431,2019-12-31
1,Stick Figure Illustration,7018459,
2,John Brown's Body Stick Figure,7452889,
3,Super Stick Figure,5128508,
4,Stick Figure & Seedles,7487874,
5,Stick Figure Man,9592504,
6,John Brown's Body & Stick Figure,7462359,
0,Veronic DiCaire,237141,2020-11-13
0,Phidizz,9245059,2019-09-25
0,Stéphane Chandelier,8990789,2019-08-16
0,Joe Pug,385559,2019-11-22
1,Joe Pug and the Hundred Mile Band,3351796,
2,Joe Pug Band,3310716,
3,Joe Pug Trio,5891424,
4,Joe Ely Jimmie Dale Gilmore Butch Hancock Joe Pug,6600074,
0,Bon Iver,590705,2020-02-21
1,S.CAREY (of Bon Iver),7907449,
0,Joynoise,9490119,2019-08-24
0,Tim Steward,1101079,2019-08-24
2,MURAKAMIGO,8064663,2019-08-31
0,Derya Yıldırım & Grup Şimşek,9396734,2020-04-03
1,Derya Yildirim,9192739,2019-08-31
0,Prof,836934,2019-09-24
1,ProfJam,9304609,
2,The Prof.Fuzz 63,8638479,2019-08-16
3,DJ Prof,8614814,
4,Itz Prof,7998573,
5,Papa Bare + Prof. J,10068927,2019-09-01
6,Prof Logik,7833924,
7,Prof. Talvez,9339259,
8,Prof. Nomad,9129359,
9,Prof.logik,8000598,
10,Prof P,9952489,
11,Prof And Rahzwell,408813,
12,prof_lofi,7202739,
13,Prof. Marb,3919566,
14,Prof I,8828574,
15,Prof Outdoors,7255579,
16,Prof. Biz,9684029,
17,Prof.N.Knots,8294508,
18,Prof. Rex Dart,9248084,
19,Prof. Joan Taylor,7525904,
20,Prof. Robert Temple,8345668,
21,Prof. William Wunner,7743564,
22,The Prof (CA),9717429,
23,Dr Cool & Prof. Funk,9762934,
24,Prof Nohair & the Wig Lifters,3322781,
25,DeaProf Music School,8303873,
26,Mad Prof ft General Levy,8133013,
27,Bill Thompson aka prof_lofi,7202749,
28,Prof. EiBE,7133444,
29,Prof-X,9954639,
0,Cody Jinks,795036,2019-10-12
1,Cody Jinks & the Tone Deaf Hippies,5764514,
0,Tyler Henry,9250809,
0,De Nachtwinkel,10031514,2019-09-26
0,Art d'Ecco,8848949,2019-09-27
0,Flume,3645486,2019-11-13
1,Liza Flume,6567638,
2,Plume,462779,
3,Blume,1166261,
4,Glume,8976604,2019-11-02
5,JBlume,6630429,
6,Alume,8965714,
0,Big Wreck,29653,2019-12-20
1,Big Wreck Trio,3656251,2011-03-24
0,Jim Jones and the Righteous Mind,8520678,2019-10-25
0,Jeff LeBlanc,1179735,2019-12-05
0,Patrick Bruel,226254,2019-12-21
0,Maren Morris,2055882,2019-11-23
0,Tyla's Dogs D'Amour,8982694,2019-10-30
1,Tyla J Pallas (The Dogs d'Amour),6691994,
2,Tyla and Dogs D'Amour,607705,
3,Tyla From Dogs D'amour,7042009,
0,The Como La Flor Band,9073744,2019-08-17
0,Basement,219964,2019-08-31
1,Basement Jaxx,44913,2019-08-24
2,Heaven's Basement,2325610,
3,Basement Revolver,9271009,
4,Basement Freaks,341862,
5,Noise in the Basement Hosted By Matt Davis,4636968,
6,Nova's Basement,3469061,
7,Noise In The Basement,575467,
8,Noize From the Basement,3101761,
9,Basement Roots,8504783,2019-08-31
10,Basement Torture Killings,3503936,2019-09-28
11,Basement Band,567063,
12,The Basement Paintings,6590354,
13,Basement Jaxx (DJ Set),2318793,2019-08-23
14,Basement Brew,4466373,
15,Basement Batman,4783408,
16,Julia and the Basement Tapes,9362504,2019-10-26
17,Basement Saints,8752859,
18,Grace Basement,1017184,
19,Basement Family,8121093,
20,Basement Club,8552654,2019-08-31
21,Vishnu Basement,8007743,
22,Basement Beers,8424493,
23,Basement Babies,4086161,
24,Cats in the Basement,4607033,
25,Basement Life,8161268,
26,Basement Birds,3317761,
27,Basement Vibes,9456074,
28,Bakers Basement,6129369,
29,God of the Basement,8880244,2019-11-30
30,Basement Surfers,9036879,
31,"Basement Strippers (Bedford, UK)",9672749,
32,Dixon Avenue Basement Jams,8732209,
33,Basement Generals,2397787,
34,Basement Apes,7538924,2019-08-09
35,The Basement Beat,5533708,
36,Basement Benders,8378058,
37,Fynnie's Basement,9374684,
38,Hidden in the Basement,3149641,
39,Basement 24,9527344,
40,Songs From the Basement,7541004,
41,The World in the Basement,4551988,
42,Basement Boys,394662,
43,Jason Collett’s Basement Revue,5997674,
44,The Basement Effect,8377598,
45,Flooded Basement,2849496,
46,The Basement Revue,4920518,
47,Basement Royalty,8255728,
48,Hancock Basement,1096457,
49,The Basement Tapes,491483,
0,Frédéric François,467180,2020-06-07
1,François-Frédéric Guy,9857009,
0,Y & T,519515,2020-02-08
1,RÜFÜS DU SOL,7759619,2020-01-04
2,D-A-D,276362,2020-03-14
3,DJ CHIN-NEN,8379848,
4,SETE STAR SEPT,1033846,
5,TROIS CAFÉS GOURMANDS,9756884,2019-12-14
6,I LIKE TRAINS,8936694,2019-11-29
7,ONE OK ROCK,3018946,
8,-M-,1367596,2019-12-18
9,POLO & PAN,8544689,2019-11-17
10,THE DAMN TRUTH,710296,
11,SNAK THE RIPPER,1128300,2019-11-29
12,DJ P-JAY,5870004,
13,JE DOUBLE F,3898356,
14,DREAM STATE (UK),8429143,2019-11-02
15,DD/MM/YYYY,603967,
16,K-X-P,2447346,2019-10-18
17,DJ C.L.A. (US),8380133,
18,HEARTS LIKE LIONS,2339318,
19,NFIX & CANDICE,9236099,2019-12-20
20,GUSHI & RAFFUNK,5841409,2019-09-07
21,SANDRA DEAN BAND,8258033,
22,MV & EE,506981,2019-10-26
23,DJ INDICA JONES,791196,2019-09-07
24,VERY SPECIAL GUESTS,8301808,2019-11-09
25,DJ K-OS,976858,
26,THE ARSON PROJECT,2000124,2019-08-10
27,BACKSTREET THE BAND,9075084,
28,RAGS AND RICHES,9831079,2019-12-07
29,DIE THRILLER PFEIFEN,8574244,2019-10-02
30,ME TALK PRETTY,608952,
31,THE CANNONBALL JOHNSONS,6002569,
32,G-REX (US),9410104,2019-11-09
33,BRUNT OF IT,262782,
34,THE EDEN PROJECT,1059491,
35,OGRE YOU ASSHOLE,675089,
36,OC & VERDE,9081779,2019-11-09
37,HIGHER BROTHERS 海爾兄弟,9157914,2019-09-14
38,GOLDEN DAWN ARKESTRA,7329909,2019-08-16
39,THE CRAB APPLES,8448378,2019-09-19
40,THE SAY HIGHS,637447,
41,THE BIONIC RATS,1045615,
42,WHITE FUZZY BLOODBATH,8570869,
43,DJ RYAN RICHARDS,2347368,
44,WE ARE TWIN,7136864,
45,AF THE NAYSAYER,4335156,
46,T/O (FR),8630669,
47,+ SECRET GUEST,8291793,2019-09-15
48,PLASTIC FANTASTIC LOVER,621378,
49,PETE THA ZOUK,718554,
0,Billy Kiesel,9963264,2019-08-14
0,Andrew Duhon,1193368,2019-10-05
