,created_at,datetime_local,general_admission,id,popularity,score,short_title,url,listing_count,average_price,median_price,lowest_price,venue_name,venue_popularity,venue_address,venue_city,venue_state,venue_zip,venue_id
0,2019-06-24T16:05:22,2019-08-08T19:00:00,True,4905207,0.0,0.0,Ray Wylie Hubbard,https://seatgeek.com/ray-wylie-hubbard-tickets/mobile-alabama-cedar-street-social-club-2019-08-08-7-pm/concert/4905207,,,,,Cedar Street Social Club,0,4 North Cedar Street,Mobile,AL,36602,457220
1,2019-03-29T16:10:27,2019-08-08T19:00:00,False,4801240,0.0,0.0,Tim Hawkins,https://seatgeek.com/tim-hawkins-tickets/dothan-alabama-ridgecrest-baptist-church-2019-08-08-7-pm/concert/4801240,,,,,Ridgecrest Baptist Church,0,1231 Fortner Street,Dothan,AL,36301,18008
2,2019-05-22T16:04:29,2019-08-08T20:00:00,False,4871496,0.522,0.365,Kyle Craft (18+),https://seatgeek.com/kyle-craft-18-tickets/birmingham-alabama-saturn-2019-08-08-8-pm/concert/4871496,1.0,34.0,34.0,34.0,Saturn,0,200 41st Street South,Birmingham,AL,35222,78349
3,2019-02-03T16:52:58,2019-08-09T18:30:00,False,4726012,0.558,0.53,Jim Parkers Songwriters Series,https://seatgeek.com/jim-parkers-songwriters-series-tickets/huntsville-alabama-von-braun-center-propst-arena-2019-08-09-6-30-pm/concert/4726012,12.0,55.0,55.0,54.0,Von Braun Center Propst Arena,0,700 Monroe St SW,Huntsville,AL,35801,1808
4,2019-07-30T16:05:27,2019-08-09T19:00:00,True,4945900,0.0,0.0,Seckond Chaynce Live,https://seatgeek.com/seckond-chaynce-live-tickets/prattville-alabama-the-blue-iguana-bar-2019-08-09-7-pm/concert/4945900,,,,,The Blue Iguana Bar,0,1714 East Main Street,Prattville,AL,36067,50290
5,2019-03-29T16:15:51,2019-08-09T19:00:00,False,4801859,0.0,0.0,Tim Hawkins,https://seatgeek.com/tim-hawkins-tickets/montgomery-alabama-vaughn-forest-church-2019-08-09-7-pm/concert/4801859,,,,,Vaughn Forest Church,0,8660 Vaughn Road,Montgomery,AL,36117,467447
6,2019-05-15T16:06:18,2019-08-09T19:00:00,True,4865756,0.0,0.0,"Marty Haggard - A Tribute to My Dad, Merle Haggard - Fort Payne",https://seatgeek.com/marty-haggard-a-tribute-to-my-dad-merle-haggard-fort-payne-tickets/fort-payne-alabama-dekalb-theatre-2019-08-09-7-pm/concert/4865756,,,,,Dekalb Theatre,0,306 Gault Ave N,Fort Payne,AL,35967,16162
7,2019-07-06T16:01:21,2019-08-09T19:00:00,False,4922685,0.539,0.472,The Goonies,https://seatgeek.com/the-goonies-tickets/birmingham-alabama-alabama-theatre-2019-08-09-7-pm/concert/4922685,1.0,41.0,41.0,41.0,Alabama Theatre,0,1817 Third Ave. North,Birmingham,AL,35203,618
8,2019-02-12T16:06:12,2019-08-09T19:00:00,False,4743600,0.646,0.56,Dierks Bentley with Jon Pardi,https://seatgeek.com/dierks-bentley-with-jon-pardi-tickets/tuscaloosa-alabama-tuscaloosa-amphitheater-2019-08-09-7-pm/concert/4743600,36.0,113.0,99.0,39.0,Tuscaloosa Amphitheater,0,2710 Jack Warner Pkwy.,Tuscaloosa,AL,35401,3990
9,2019-04-20T16:04:57,2019-08-09T20:00:00,True,4825252,0.0,0.0,Diamond Rio,https://seatgeek.com/diamond-rio-tickets/huntsville-alabama-the-mercantile-3-2019-08-09-8-pm/concert/4825252,,,,,The Mercantile,0,115 Clinton Ave N.,Huntsville,AL,35801,467636
10,2019-04-30T16:04:17,2019-08-09T20:00:00,False,4845785,0.536,0.398,Kenny Neal,https://seatgeek.com/kenny-neal-tickets/birmingham-alabama-iron-city-2019-08-09-8-pm/concert/4845785,1.0,68.0,68.0,68.0,Iron City,0,513 22nd Street South,Birmingham,AL,35233,38866
11,2019-07-19T16:08:27,2019-08-09T20:00:00,False,4932067,0.0,0.0,Deana Carter,https://seatgeek.com/deana-carter-tickets/auburn-alabama-auburn-arena-2019-08-09-8-pm/concert/4932067,,,,,Auburn Arena,0,250 Beard,Auburn,AL,36849,3455
12,2019-04-22T16:02:06,2019-08-09T20:00:00,False,4833354,0.0,0.0,Brent Cobb And Them Sucker For A Good Time Tour: Brent Cobb and Them- Sucker for a Good Time Tour,https://seatgeek.com/brent-cobb-and-them-sucker-for-a-good-time-tour-brent-cobb-and-them-sucker-for-a-good-time-tour-tickets/montgomery-alabama-range-231-2019-08-09-8-pm/concert/4833354,1.0,27.0,27.0,27.0,Range 231,0,3250 Wetumpka Highway,Montgomery,AL,36110,464728
13,2019-07-03T16:16:57,2019-08-09T21:00:00,True,4915772,0.447,0.34,CBDB (18+),https://seatgeek.com/cbdb-18-tickets/mobile-alabama-soul-kitchen-2019-08-09-9-pm/concert/4915772,1.0,457.0,457.0,457.0,Soul Kitchen,0,219 Dauphin St.,Mobile,AL,36602,3626
14,2019-04-24T16:05:04,2019-08-09T21:00:00,True,4836302,0.507,0.352,Here Come The Mummies (18+),https://seatgeek.com/here-come-the-mummies-18-tickets/birmingham-alabama-saturn-2019-08-09-9-pm/concert/4836302,2.0,111.0,111.0,111.0,Saturn,0,200 41st Street South,Birmingham,AL,35222,78349
15,2019-07-19T16:07:58,2019-08-10T18:00:00,False,4931971,0.0,0.0,The Vegabonds,https://seatgeek.com/the-vegabonds-tickets/birmingham-alabama-zydeco-2019-08-10-6-pm/concert/4931971,,,,,Zydeco,0,2001 15th Avenue South,Birmingham,AL,35205,3671
16,2019-08-05T16:00:58,2019-08-10T18:30:00,True,4951588,0.0,0.0,Grayson Capps,https://seatgeek.com/grayson-capps-tickets/fairhope-alabama-32-s-section-st-2019-08-10-6-30-pm/concert/4951588,,,,,32 S Section St,0,32 South Section Street,Fairhope,AL,36532,460279
