,flaggedAsEnded,id,popularity,type,venue_id,headliner,support,event_time
0,False,37492754,0.013307,Concert,983,Reverend Horton Heat,The Delta Bombers,2019-08-08 19:00:00-06:00
1,False,38827049,9.499999999999999e-05,Concert,983,The Anchorage,Racist Kramer,2019-08-10 19:00:00-06:00
2,False,37091759,0.030854000000000003,Concert,983,King Gizzard & The Lizard Wizard,Stonefield,2019-08-20 19:00:00-06:00
3,False,38989431,0.009071,Concert,983,DJ Pauly D,,2019-08-24 21:00:00-06:00
4,False,38991753,0.001657,Concert,983,Corduroy,,2019-08-31 20:00:00-06:00
5,False,38793989,0.024689,Concert,983,Grace VanderWaal,Patrick Martin,2019-09-01 18:00:00-06:00
6,False,38081309,0.07358300000000001,Concert,983,Die Antwoord,,2019-09-10 19:00:00-06:00
7,False,39029270,0.000869,Concert,983,Fatboy SSE,,2019-09-14 20:00:00-06:00
8,False,38979297,0.09438400000000001,Concert,983,Andy Grammer,,2019-09-17 19:00:00-06:00
9,False,38735629,0.014341999999999999,Concert,983,Oliver Tree,,2019-09-18 07:00:00-06:00
10,False,38739879,0.014341999999999999,Concert,983,Oliver Tree,,2019-09-18 19:00:00-06:00
11,False,38240914,0.088488,Concert,983,Explosions in the Sky,,2019-09-19 20:00:00-06:00
12,False,39013322,0.13661600000000002,Concert,983,Zara Larsson,,2019-09-20 19:00:00-06:00
13,False,39019062,0.011468,Concert,983,Stabbing Westward,,2019-09-27 18:30:00-06:00
14,False,36677844,0.017391,Concert,983,Dodie,,2019-09-30 20:00:00-06:00
15,False,39029415,0.016062,Concert,983,Face To Face,Lagwagon,2019-10-01 19:00:00-06:00
16,False,38408424,0.026575,Concert,983,The Waterboys,,2019-10-02 19:00:00-06:00
17,False,38866674,0.173457,Concert,983,Cold War Kids,,2019-10-04 19:00:00-06:00
18,False,38943239,0.032754000000000005,Concert,983,Sabrina Claudio,,2019-10-05 19:00:00-06:00
19,False,39045773,0.028057,Concert,983,Clairo,Beabadoobee,2019-10-06 18:30:00-06:00
20,False,38329349,0.014796,Concert,983,Stiff Little Fingers,Avengers,2019-10-11 20:00:00-06:00
21,False,38636434,0.021657,Concert,983,Sleater-Kinney,,2019-10-12 19:00:00-06:00
22,False,38951828,0.010399,Concert,983,Gwar,Sacred Reich,2019-10-15 18:30:00-06:00
23,False,38949158,0.0038810000000000003,Concert,983,ScaryPoolParty,Aranda,2019-10-16 19:00:00-06:00
24,False,38996329,0.047117,Concert,983,Frank Turner,,2019-10-23 18:00:00-06:00
25,False,38498329,0.032162,Concert,983,Jon Pardi,Riley Green,2019-10-26 18:00:00-06:00
26,False,39044985,0.028964,Concert,983,The Story So Far,The Frights,2019-10-29 18:00:00-06:00
27,False,38364929,0.0070019999999999995,Concert,983,Caamp,Futurebirds,2019-11-05 19:00:00-07:00
28,False,39045930,0.01248,Concert,983,Ice Nine Kills,Light The Torch,2019-11-06 17:00:00-07:00
29,False,38235609,0.086685,Concert,983,Julia Michaels,,2019-11-09 20:00:00-07:00
30,False,39028627,0.018227,Concert,983,CHON,Between The Buried And Me,2019-11-15 18:30:00-07:00
31,False,38674749,0.0067670000000000004,Concert,983,Conan Gray,,2019-12-04 19:00:00-07:00
32,False,39038977,0.008819,Concert,983,The Dead South,,2019-12-09 19:00:00-07:00
33,False,38418119,0.037922000000000004,Concert,983,Angel Olsen,Vagabon,2019-12-13 21:00:00-07:00
34,False,38988159,1e-06,Concert,2460,Telegraph Quartet,,
35,False,38988160,1e-06,Concert,2460,Telegraph Quartet,,
36,False,38767164,0.003927,Concert,1516,JoJo Siwa,The Belles Official,2019-10-02 17:30:00-04:00
37,False,38367089,0.003436,Concert,1516,Ryan Hurd,,2019-11-08 19:00:00-05:00
38,False,39018197,0.033849000000000004,Concert,1516,Old Dominion,,
39,False,38399734,0.17466199999999998,Concert,49779,Shinedown,Papa Roach,2019-10-02 18:15:00-05:00
40,False,38990648,0.08140399999999999,Concert,49779,Chris Young,Eli Young Band,2019-10-18 19:30:00-05:00
41,False,38621354,2.8000000000000003e-05,Concert,112335,Dirty Catfish Brass Band,,2019-08-08 20:00:00-07:00
42,False,38742169,2.7000000000000002e-05,Concert,112335,Me & Mae,Cory Gallant,2019-08-25 19:00:00-07:00
43,False,38987480,7.2e-05,Concert,112335,Ginger St. James,,2019-09-08 19:00:00-07:00
44,False,39004121,7.000000000000001e-06,Concert,112335,Natalie Lynn,,2019-09-21 19:00:00-07:00
45,False,38476304,0.000268,Concert,112335,Daniel Champagne,,2019-10-05 19:00:00-07:00
46,False,39017934,9e-06,Concert,112335,Dakota Pearl,,2019-10-06 19:00:00-07:00
47,False,38742269,0.0008730000000000001,Concert,112335,Marbin,,2019-10-14 21:00:00-07:00
48,False,39036684,0.014259,Concert,4012879,Gilberto Santa Rosa,,2019-08-10 20:00:00-05:00
49,False,38622754,0.015798,Concert,4012879,The String Cheese Incident,,2019-11-07 19:30:00-06:00
50,False,38622769,0.015798,Concert,4012879,The String Cheese Incident,,2019-11-08 19:30:00-06:00
51,False,38622759,0.015798,Concert,4012879,The String Cheese Incident,,2019-11-09 19:30:00-06:00
52,False,38983523,0.0009609999999999999,Concert,4012879,Yundi Li,,2020-03-09 20:00:00-05:00
53,False,38951961,4e-06,Concert,2728163,Elliah Heifetz,,2019-08-07 22:00:00-04:00
54,False,38801159,1e-06,Concert,2728163,Alex Alavi,,2019-08-09 20:00:00-04:00
55,False,37357669,1e-06,Concert,2728163,Matt and the Skeleton Crew,,2019-08-10 20:00:00-04:00
56,False,39008462,1.3000000000000001e-05,Concert,2728163,BanjerDan,,2019-08-10 22:30:00-04:00
57,False,38601314,5e-06,Concert,2728163,Pickin' Pear,,2019-08-14 19:30:00-04:00
58,False,38667714,5.3e-05,Concert,2728163,Marc Delgado,Emma G,2019-08-15 19:30:00-04:00
59,False,38761234,0.0,Concert,2728163,Derek Curtis,,2019-08-15 22:00:00-04:00
60,False,38629604,1e-05,Concert,2728163,Annie Stokes,,2019-08-17 22:30:00-04:00
61,False,38688729,0.00011499999999999999,Concert,2728163,moonweather,,2019-08-21 19:30:00-04:00
