,venue_name,id,capacity,street,zip,latitude,longitude,metro_area
0,The Basement East,2913113,,917 Woodland Ave.,37206,36.175636,-86.755652,Nashville
1,The Basement East,4147909,545.0,917 Woodland Street,37206,36.175670000000004,-86.75558000000002,Nashville
2,The Zimmerman's Basement O' Sound,1766373,,7 Sussex Road,08816,40.4184331,-74.4322273,East Brunswick
3,The Basement East,3433549,,1245 Glenwood Avenue Southeast,30316,33.739987799999994,-84.346676,Atlanta
4,Evangeline Downs Racetrack & Casino,2371734,,2235 Creswell Lane Extension,70570,30.53353,-92.08151,Baton Rouge
5,Zappo's Theater at Planet Hollywood,3815719,4600.0,3667 S. Las Vegas Blvd.,89109,36.11006,-115.17088999999999,Las Vegas
6,Resorts World Catskills,3894369,,888 Resorts World Drive,12701,41.65715,-74.64771999999998,Monticello
7,Santander Arena,506116,,700 Penn St.,19602,40.335029999999996,-75.92339,Wilmington
8,"Eagle Theater, Santander Arena",6896,,700 Penn St.,19610,40.33514,-75.9234,Wilmington
9,The Theater at Santander Arena,3842839,,700 Penn Street,19602,40.335029999999996,-75.92339,Wilmington
10,Diamond Credit Union Theater at the Santander Arena,3768574,,700 Penn Street,19602,40.335030100000004,-75.9233893,Wilmington
11,Torrelavega Arena,1417318,,"Calle de Pando, 2",39300,43.346419299999994,-4.0459681000000005,Santander
12,Pinewood Bowl Theater,87817,,3201 S. Coddington Ave.,68522,40.7797008,-96.7494143,Lincoln
13,"Magoffin Auditorium, UTEP",7571,,Hawthorne Street,79968,31.76793,-106.50173000000001,El Paso
14,"Mississippi Moon Bar, Diamond Jo Casino",127972,,301 Bell Street,52001,42.4975,-90.65888000000001,Madison
15,Diamond Jo Casino - Dubuque,133143,,301 Bell Street,52001,42.497409999999995,-90.65907,Madison
16,The Ground,3509759,,34 NE 11th ST,33132,25.78448,-80.19314,Miami
17,The Ground at Club Space,4315809,,34 NE 11th St,33132,25.784670000000002,-80.1932,Miami
18,The Backstage at Championship Bar,1294936,,931 Chambers Street,08611,40.21156,-74.73917,Philadelphia
19,Championship Bar & Grill,173168,200.0,931 Chambers St.,08611,40.21705,-74.74294,Philadelphia
20,Little Fox Theatre,33008,,2215 Broadway St.,94063,37.486,-122.22958700000001,SF Bay Area
21,Fox Theatre,2808953,,2215 Broadway,94063,37.48633,-122.22963,SF Bay Area
22,Big Fox Theatre,2097859,2000.0,2215 Broadway,94063,37.486,-122.22958700000001,SF Bay Area
23,The Plant,3787984,,308 N St Andrews St,36303,31.227559999999997,-85.3914,Tallahassee
24,The Ford Plant,43451,,1 King St.,,43.0324313,-80.33125840000002,Brantford
25,The Plant,2263529,,,,,,Montreal
26,The Record Plant,78057,,,,,,SF Bay Area
27,The Plant,2950528,,220 Lorax Lane,27510,35.71004600000001,-79.156684,Pittsboro
28,The Plant Studios,47201,,,,,,SF Bay Area
29,The Plant,3332754,,517 W Gaines St,,30.4352911,-84.2892048,Tallahassee
30,The Plant,4078094,,Redwood Street,,-41.529109999999996,173.96157,Blenheim
31,The Plant,55678,,,,,,Los Angeles
32,The Power Plant Contemporary Art Gallery,1806678,,"231 Queens Quay W, Toronto, ON",M5J 2G8,43.638679100000004,-79.38216109999998,Toronto
33,The Plant,1643453,,1407 4th St Sw.,,35.071588,-106.654701,Albuquerque
34,The Plant Shoppe,3006879,,,,35.4675602,-97.5164276,Oklahoma City
35,The Plant,3556094,,1201 N Union St.,14760,42.093424,-78.43598,Olean
36,Plant The Seeds Initiative,4063879,,,,,,Kingston
37,The Gathering,1230091,,4815 W Sam Allen Road,33565,28.046576,-82.176487,Plant City
38,The Hood Plant,3477464,,187 S Winooski Ave,,44.4746963,-73.2109986,Burlington
39,Tin Roof - Charlotte,2374949,,210 E. Trade St.,28202,35.227309999999996,-80.84315,Charlotte
40,Ames Center,38810,,12600 Nicollet Ave.,,44.77407,-93.2795,Twin Cities
41,"Proscenium Stage, Ames Center",1047961,,,55337,44.7758378,-93.2684215,Twin Cities
42,"Stephens Auditorium, Iowa State Center",1502,,Lincoln Way & Elwood Dr.,50011,42.01978,-93.63244,Des Moines
43,"Black Box Theater, Ames Center",3030244,,,55337,44.7758378,-93.2684215,Twin Cities
44,Iowa State Center,46929,,,,,,Des Moines
45,NASA Ames Research Center,488231,,,,,,SF Bay Area
46,Baffles Bar & Event Center,3626159,,300 South 17th Street,50010,42.0062703,-93.61262359999999,Des Moines
47,Ia State Center,725276,,,,,,Des Moines
48,Stephens Center,781816,,,,,,Des Moines
49,Harvester Plaza at Iowa State Center,2660653,,Beach Avenue and Center Drive,50011,42.0195934,-93.6394539,Des Moines
50,Hansen Ag Student Learning Center,4015129,,,50011,42.02887,-93.64803,Des Moines
51,Hansen Agriculture Student Learning Center,2823418,,,50011,42.0288663,-93.6480307,Des Moines
52,Burnsville Pac/ames Center,3354339,,Proscenium Stage 12600 Nicollet  Ave,,44.77407,-93.2795,Twin Cities
53,Tin Roof - Baltimore,2701328,,32 Market Pl.,21202,39.28882,-76.60716,Baltimore
54,Cheyenne Civic Center,1204,,2101 O'Neil Ave,82001,41.13537,-104.82244,Cheyenne
55,Rushmore Plaza Civic Center,31743,,44 Mt. Rushmore Rd.,57701,44.084720000000004,-103.22969,Cheyenne
56,Rushmore Plaza Civic Center Arena,682171,,444 Mt. Rushmore Rd. North,57701,44.088448,-103.224949,Cheyenne
57,Civic Center Park,902821,,201 Laporte Ave.,80521,40.5884231,-105.07939679999998,Cheyenne
58,Laramie Plains Civic Center Theatre,1204311,,710 Garfield Street,82070,41.30977,-105.58832,Cheyenne
59,Civic Center Park Area,3346869,,North Howes and Laporte Ave,80524,40.588960799999995,-105.080684,Cheyenne
60,High Dive,1940804,400.0,210 SW 2nd Ave,32601,29.650579999999998,-82.32698,Jacksonville
61,Florida Theatre Jacksonville,732,,128 E. Forsyth St.,32202,30.32645,-81.65554,Jacksonville
62,"Lazzarra Theatre, University of North Florida",1887578,,One UNF Drive,32224,30.270668199999996,-81.5104313,Jacksonville
63,Times Union Center,496,,51 South Pearl Street,12207,42.64834000000001,-73.75395999999998,Springfield
64,"Moran Theater, Times-Union Center for the Performing Arts",6884,,300 W. Water St.,32202,30.32558,-81.66309,Jacksonville
65,"Jacoby Symphony Hall, Times-Union Center for the Performing Arts",4552,,"300 W. Water St., Suite 200",32202,30.3255836,-81.66309040000002,Jacksonville
66,"Terry Theater, Times-Union Center for the Performing Arts",7661,,300 West Water Street,32202,30.32498,-81.66239,Jacksonville
67,Times-Union Center For The Performing Arts,903,,300 West Water Street,32202,30.32558,-81.66309,Jacksonville
68,Hard Rock Live - Orlando,38516,,6050 Universal Blvd.,32819,28.4737,-81.46734000000002,Orlando
69,Shea's Performing Arts Center,1291,,646 Main St,14202,42.891690000000004,-78.8733,Buffalo
70,One Eyed Jacks,2799,300.0,615 Toulouse Street,70130,29.957032,-90.064749,New Orleans
71,One Eyed Jack's,600891,,2638 Colonel Glenn Parkway,45324,39.8208925,-84.0193789,Dayton
72,One Eyed Jacks,1517123,,2638 Colonel Glenn Hwy,,39.7779711,-84.0545785,Dayton
73,One Eyed Jacks,873566,,,,,,Kansas City
74,One Eyed Jacks,669746,,,,55.86626700000001,-3.9625660000000003,Glasgow
75,One Eyed Jack's,43460,,,,,,Los Angeles
76,One Eyed Jack's,3894799,,380 N Wantagh Ave,11714,40.7350194,-73.49538620000001,Bethpage
77,One Eyed Jack's,249351,,,,,,Cincinnati
78,The Tulalip Amphitheatre,2383,,10400 Quil Ceda Boulevard,98271,48.0940685,-122.1880209,Seattle
79,Revention Music Center,2861788,2900.0,520 Texas Ave.,77002,29.76244,-95.36718,Houston
80,40 Below - Under Revention Music Center,4224959,,,77002,29.75255,-95.3704,Houston
81,Shovelhead Live,3989544,,900 US-17,32750,28.69259000000001,-81.3283,Orlando
82,Strummer's,2349949,,833 E Fern Ave,93728,36.7588441,-119.8001805,Fresno
83,Strummer Bar,3932454,,Godoy Cruz 1631,,-34.5879076,-58.4344409,Buenos Aires
84,Strummer Camp,126760,,,,,,Manchester
85,Strummers,30288,,,,,,Pittsburgh
86,Arena Joe Strummer,2502964,,Via Stalingrado,40128,44.516114,11.3597931,Bologna
