,Unnamed: 0_x,address,city,country_left,event_date,event_name,genre,is_presale,latitude_left,longitude_left,max_tickets,num_markets,onsale_date,postalCode,price_max,price_min,sold_out,state,subgenre,url,venue_name_left,Unnamed: 0_y,Venue,City,Capacity,popularity_sk,headliner,support,event_time,id_y,street,zip,metro_area,country_right,city_name
36112,78,500 David J Stern Walk,Sacramento,US,2019-11-23 04:00:00+00:00,Eric Church: Double Down Tour,Country,1,38.580372,-121.500231,,1.0,2019-03-22 17:00:00+00:00,95814,,,1.0,CA,Country,https://www.ticketmaster.com/eric-church-double-down-tour-sacramento-california-11-22-2019/event/1C00566D88592418,Golden 1 Center,88.0,Golden 1 Center,Sacramento,"17,500 ",0.12428199999999999,Eric Church,,2019-11-23 20:00:00-08:00,3144639,500 David J Stern Walk,95814,Sacramento,US,Sacramento
17548,171,500 David J Stern Walk,Sacramento,US,2019-09-08 03:00:00+00:00,Dave Matthews Band,Rock,1,38.580372,-121.500231,,1.0,2019-02-22 18:00:00+00:00,95814,106.1,43.72,0.0,CA,Alternative Rock,https://www.ticketmaster.com/dave-matthews-band-sacramento-california-09-07-2019/event/1C0055939C3536C5,Golden 1 Center,88.0,Golden 1 Center,Sacramento,"17,500 ",0.363619,Twenty One Pilots,,2019-11-03 20:00:00-08:00,3144639,500 David J Stern Walk,95814,Sacramento,US,Sacramento
32360,167,500 David J Stern Walk,Sacramento,US,2019-09-20 03:00:00+00:00,Post Malone - Runaway Tour,Hip-Hop/Rap,1,38.580372,-121.500231,8,1.0,2019-07-19 17:00:00+00:00,95814,499.91,49.91,0.0,CA,French Rap,https://www.ticketmaster.com/post-malone-runaway-tour-sacramento-california-09-19-2019/event/1C0056EB847528B7,Golden 1 Center,88.0,Golden 1 Center,Sacramento,"17,500 ",0.363619,Twenty One Pilots,,2019-11-03 20:00:00-08:00,3144639,500 David J Stern Walk,95814,Sacramento,US,Sacramento
34041,71,500 David J Stern Walk,Sacramento,US,2019-09-20 03:00:00+00:00,Post Malone - Runaway Tour,Hip-Hop/Rap,1,38.580372,-121.500231,8,1.0,2019-07-19 17:00:00+00:00,95814,499.91,49.91,0.0,CA,French Rap,https://www.ticketmaster.com/post-malone-runaway-tour-sacramento-california-09-19-2019/event/1C0056EB847528B7,Golden 1 Center,88.0,Golden 1 Center,Sacramento,"17,500 ",0.363619,Twenty One Pilots,,2019-11-03 20:00:00-08:00,3144639,500 David J Stern Walk,95814,Sacramento,US,Sacramento
348902,97,9201 Circuit of the Americas Blvd.,Austin,US,2019-09-19 00:00:00+00:00,Crown Royal Club Seats: CAKE and Ben Folds,Rock,0,30.13310378,-97.64039993,,2.0,2019-05-13 20:00:00+00:00,78617,250.0,125.0,0.0,TX,Alternative Rock,https://www.ticketmaster.com/crown-royal-club-seats-cake-and-austin-texas-09-18-2019/event/3A0056ADC35C2F3D,Austin360 Amphitheater,566.0,Austin360 Amphitheater,Austin,"14,000",0.08081,Chevelle,,2019-09-09 19:00:00-05:00,2151799,9201 Circuit of the Americas Blvd.,78617,Austin,US,Austin
347131,153,9201 Circuit of the Americas Blvd.,Austin,US,2019-09-19 00:00:00+00:00,CAKE and Ben Folds,Rock,1,30.13310378,-97.64039993,,2.0,2019-04-19 15:00:00+00:00,78617,70.0,45.0,0.0,TX,Alternative Rock,https://www.ticketmaster.com/cake-and-ben-folds-austin-texas-09-18-2019/event/3A005688D8A68AB3,Austin360 Amphitheater,566.0,Austin360 Amphitheater,Austin,"14,000",0.08081,Chevelle,,2019-09-09 19:00:00-05:00,2151799,9201 Circuit of the Americas Blvd.,78617,Austin,US,Austin
36760,98,500 David J Stern Walk,Sacramento,US,2020-07-18 02:30:00+00:00,Ozzy Osbourne: No More Tours 2,Metal,1,38.580372,-121.500231,,1.0,2018-11-09 18:00:00+00:00,95814,246.41,31.41,0.0,CA,Nu-Metal,https://www.ticketmaster.com/ozzy-osbourne-no-more-tours-2-sacramento-california-07-17-2020/event/1C005561AC2C6EC3,Golden 1 Center,88.0,Golden 1 Center,Sacramento,"17,500 ",0.666628,Chris Brown,Ty Dolla $ign,2019-10-12 18:30:00-07:00,3144639,500 David J Stern Walk,95814,Sacramento,US,Sacramento
10561,44,4900 Marie P. DeBartolo Way,Santa Clara,US,2019-08-19 02:30:00+00:00,The Rolling Stones: 2019 No Filter Tour,Rock,1,37.40367671,-121.97034311,8,1.0,2018-11-30 18:00:00+00:00,95054,1599.0,25.5,0.0,CA,Pop,https://www.ticketmaster.com/the-rolling-stones-2019-no-filter-santa-clara-california-08-18-2019/event/1C005568659E17CE,Levi's Stadium,90.0,Levi's Stadium,Santa Clara,"68,500[16]",0.48186,The Rolling Stones,Vista Kicks,2019-08-18 19:30:00-07:00,2790068,4900 Marie P. DeBartolo Way,95054,SF Bay Area,US,Santa Clara
37794,113,500 David J Stern Walk,Sacramento,US,2019-12-02 03:00:00+00:00,The Chainsmokers/5 Seconds of Summer/Lennon Stella: World War Joy Tour,Dance/Electronic,1,38.580372,-121.500231,,1.0,2019-02-15 18:00:00+00:00,95814,154.5,25.91,0.0,CA,Witchstep,https://www.ticketmaster.com/the-chainsmokers5-seconds-of-summerlennon-stella-sacramento-california-12-01-2019/event/1C005646FE229A8C,Golden 1 Center,88.0,Golden 1 Center,Sacramento,"17,500 ",0.12541300000000002,Cake,,,3144639,500 David J Stern Walk,95814,Sacramento,US,Sacramento
22837,183,500 David J Stern Walk,Sacramento,US,2019-10-27 02:00:00+00:00,Luke Combs: Beer Never Broke My Heart Tour,Country,1,38.580372,-121.500231,,1.0,2019-04-05 17:00:00+00:00,95814,,,1.0,CA,Country,https://www.ticketmaster.com/luke-combs-beer-never-broke-my-sacramento-california-10-26-2019/event/1C005675A3C651C9,Golden 1 Center,88.0,Golden 1 Center,Sacramento,"17,500 ",0.12541300000000002,Cake,,,3144639,500 David J Stern Walk,95814,Sacramento,US,Sacramento
24642,21,500 David J Stern Walk,Sacramento,US,2019-09-10 02:30:00+00:00,Iron Maiden - Legacy Of The Beast Tour 2019,Metal,1,38.580372,-121.500231,4,1.0,2018-11-16 18:00:00+00:00,95814,125.91,45.91,0.0,CA,Nu-Metal,https://www.ticketmaster.com/iron-maiden-legacy-of-the-beast-sacramento-california-09-09-2019/event/1C005567C2A78829,Golden 1 Center,88.0,Golden 1 Center,Sacramento,"17,500 ",0.12541300000000002,Cake,,,3144639,500 David J Stern Walk,95814,Sacramento,US,Sacramento
16203,137,500 David J Stern Walk,Sacramento,US,2019-11-28 04:00:00+00:00,MANÁ: Rayando El Sol Tour 2019,Latin,1,38.580372,-121.500231,,1.0,2019-03-01 19:00:00+00:00,95814,359.5,25.91,0.0,CA,Latin,https://www.ticketmaster.com/mana-rayando-el-sol-tour-2019-sacramento-california-11-27-2019/event/1C00564F14619BB1,Golden 1 Center,88.0,Golden 1 Center,Sacramento,"17,500 ",0.12541300000000002,Cake,,,3144639,500 David J Stern Walk,95814,Sacramento,US,Sacramento
35720,71,500 David J Stern Walk,Sacramento,US,2019-11-24 04:00:00+00:00,Eric Church: Double Down Tour,Country,1,38.580372,-121.500231,,1.0,2019-03-22 17:00:00+00:00,95814,,,1.0,CA,Country,https://www.ticketmaster.com/eric-church-double-down-tour-sacramento-california-11-23-2019/event/1C00566D885B241B,Golden 1 Center,88.0,Golden 1 Center,Sacramento,"17,500 ",0.12541300000000002,Cake,,,3144639,500 David J Stern Walk,95814,Sacramento,US,Sacramento
21873,146,500 David J Stern Walk,Sacramento,US,2019-09-12 02:00:00+00:00,CAKE,Rock,1,38.580372,-121.500231,,1.0,2019-04-19 17:00:00+00:00,95814,99.5,59.5,0.0,CA,Alternative Rock,https://www.ticketmaster.com/cake-sacramento-california-09-11-2019/event/1C005688AEEF4FD9,Golden 1 Center,88.0,Golden 1 Center,Sacramento,"17,500 ",0.12541300000000002,Cake,,,3144639,500 David J Stern Walk,95814,Sacramento,US,Sacramento
12498,94,500 David J Stern Walk,Sacramento,US,2019-09-18 02:30:00+00:00,John Mayer,Rock,1,38.580372,-121.500231,,1.0,2019-05-10 17:00:00+00:00,95814,171.41,55.91,0.0,CA,Pop,https://www.ticketmaster.com/john-mayer-sacramento-california-09-17-2019/event/1C0056999DA63586,Golden 1 Center,88.0,Golden 1 Center,Sacramento,"17,500 ",0.12541300000000002,Cake,,,3144639,500 David J Stern Walk,95814,Sacramento,US,Sacramento
14340,113,500 David J Stern Walk,Sacramento,US,2019-10-16 02:30:00+00:00,Jonas Brothers: Happiness Begins Tour,Rock,1,38.580372,-121.500231,,1.0,2019-05-10 17:00:00+00:00,95814,496.36,34.95,0.0,CA,Pop,https://www.ticketmaster.com/jonas-brothers-happiness-begins-tour-sacramento-california-10-15-2019/event/1C00569DDC5A4049,Golden 1 Center,88.0,Golden 1 Center,Sacramento,"17,500 ",0.12541300000000002,Cake,,,3144639,500 David J Stern Walk,95814,Sacramento,US,Sacramento
