GEO.id,GEO.id2,GEO.display-label,GC.target-geo-id,GC.target-geo-id2,GC.display-label,GC.display-label,rescen42010,resbase42010,respop72010,respop72011,respop72012,respop72013,respop72014,respop72015,respop72016,respop72017,respop72018
0100000US,,United States,0100000US,,United States,United States,308745538,308758105,309326085,311580009,313874218,316057727,318386421,320742673,323071342,325147121,327167434
0100000US,,United States,01000C0US,,United States - In metropolitan statistical area,In metropolitan statistical area,262612316,262624993,263180165,265457988,267812956,270052817,272429741,274832814,277194452,279254298,281238219
0100000US,,United States,310M400US10180,10180,"United States - Abilene, TX Metro Area","Abilene, TX Metro Area",165252,165246,165583,166616,167447,167472,168355,169704,170018,170516,171451
0100000US,,United States,310M400US10420,10420,"United States - Akron, OH Metro Area","Akron, OH Metro Area",703200,703203,703035,703123,702080,703625,704921,704448,703690,704367,704845
0100000US,,United States,310M400US10500,10500,"United States - Albany, GA Metro Area","Albany, GA Metro Area",157308,157493,157589,157853,157349,156019,155248,153604,152353,151293,153009
0100000US,,United States,310M400US10540,10540,"United States - Albany, OR Metro Area","Albany, OR Metro Area",116672,116676,116887,118155,118273,118416,119063,120244,122730,124977,127335
0100000US,,United States,310M400US10580,10580,"United States - Albany-Schenectady-Troy, NY Metro Area","Albany-Schenectady-Troy, NY Metro Area",870716,870714,871080,872701,874674,877095,878184,879131,879790,882130,883169
0100000US,,United States,310M400US10740,10740,"United States - Albuquerque, NM Metro Area","Albuquerque, NM Metro Area",887077,887064,889574,897983,902017,905150,904852,906548,909833,912897,915927
0100000US,,United States,310M400US10780,10780,"United States - Alexandria, LA Metro Area","Alexandria, LA Metro Area",153922,153918,154092,154378,154384,154617,154560,154102,154160,153604,153044
0100000US,,United States,310M400US10900,10900,"United States - Allentown-Bethlehem-Easton, PA-NJ Metro Area","Allentown-Bethlehem-Easton, PA-NJ Metro Area",821173,821267,821914,824863,826139,825783,828581,830361,833144,838081,842913
0100000US,,United States,310M400US11020,11020,"United States - Altoona, PA Metro Area","Altoona, PA Metro Area",127089,127116,127043,126959,126540,125835,125276,124585,123680,123175,122492
0100000US,,United States,310M400US11100,11100,"United States - Amarillo, TX Metro Area","Amarillo, TX Metro Area",251933,251937,252677,255972,257821,258938,260874,261804,263327,264955,265947
0100000US,,United States,310M400US11180,11180,"United States - Ames, IA Metro Area","Ames, IA Metro Area",89542,89542,89654,91125,91999,93871,95797,96605,96845,97260,98105
0100000US,,United States,310M400US11260,11260,"United States - Anchorage, AK Metro Area","Anchorage, AK Metro Area",380821,380821,383045,387870,391903,397032,398031,398681,401373,400647,399148
0100000US,,United States,310M400US11460,11460,"United States - Ann Arbor, MI Metro Area","Ann Arbor, MI Metro Area",344791,345104,345658,349676,352262,356015,360035,363109,366488,369208,370963
0100000US,,United States,310M400US11500,11500,"United States - Anniston-Oxford-Jacksonville, AL Metro Area","Anniston-Oxford-Jacksonville, AL Metro Area",118572,118594,118477,117797,117257,116541,115995,115536,115018,114664,114277
0100000US,,United States,310M400US11540,11540,"United States - Appleton, WI Metro Area","Appleton, WI Metro Area",225666,225664,225944,227521,228643,229973,231642,233229,234355,236058,237524
0100000US,,United States,310M400US11700,11700,"United States - Asheville, NC Metro Area","Asheville, NC Metro Area",424858,424859,425338,428073,430951,435823,439715,444673,450459,455255,459585
0100000US,,United States,310M400US12020,12020,"United States - Athens-Clarke County, GA Metro Area","Athens-Clarke County, GA Metro Area",192541,192564,193435,194349,195981,197592,198378,202533,205296,208997,211306
0100000US,,United States,310M400US12060,12060,"United States - Atlanta-Sandy Springs-Roswell, GA Metro Area","Atlanta-Sandy Springs-Roswell, GA Metro Area",5286728,5286750,5302703,5366252,5444763,5511323,5594545,5688284,5790280,5874249,5949951
0100000US,,United States,310M400US12100,12100,"United States - Atlantic City-Hammonton, NJ Metro Area","Atlantic City-Hammonton, NJ Metro Area",274549,274521,274649,274606,274651,274369,272656,270471,267813,266328,265429
0100000US,,United States,310M400US12220,12220,"United States - Auburn-Opelika, AL Metro Area","Auburn-Opelika, AL Metro Area",140247,140300,140806,144130,148581,151831,154545,157009,159297,161641,163941
0100000US,,United States,310M400US12260,12260,"United States - Augusta-Richmond County, GA-SC Metro Area","Augusta-Richmond County, GA-SC Metro Area",564873,564873,566492,570596,576021,579673,582953,589476,594894,600006,604167
0100000US,,United States,310M400US12420,12420,"United States - Austin-Round Rock, TX Metro Area","Austin-Round Rock, TX Metro Area",1716289,1716321,1727528,1780605,1834926,1883901,1943409,2002591,2062211,2115230,2168316
0100000US,,United States,310M400US12540,12540,"United States - Bakersfield, CA Metro Area","Bakersfield, CA Metro Area",839631,839619,841072,848140,853963,862557,869957,877197,882361,888988,896764
0100000US,,United States,310M400US12580,12580,"United States - Baltimore-Columbia-Towson, MD Metro Area","Baltimore-Columbia-Towson, MD Metro Area",2710489,2710602,2715726,2733547,2754611,2768374,2780300,2790285,2794294,2798587,2802789
0100000US,,United States,310M400US12620,12620,"United States - Bangor, ME Metro Area","Bangor, ME Metro Area",153923,153932,153860,153749,153347,153235,153224,151949,151282,151190,151096
0100000US,,United States,310M400US12700,12700,"United States - Barnstable Town, MA Metro Area","Barnstable Town, MA Metro Area",215888,215875,215893,215333,214783,214520,214299,213811,213446,213482,213413
0100000US,,United States,310M400US12940,12940,"United States - Baton Rouge, LA Metro Area","Baton Rouge, LA Metro Area",802484,802504,804298,808240,813112,818814,823839,828211,833663,831182,831310
0100000US,,United States,310M400US12980,12980,"United States - Battle Creek, MI Metro Area","Battle Creek, MI Metro Area",136146,136148,135952,135096,134733,134755,134812,134339,134370,134358,134487
0100000US,,United States,310M400US13020,13020,"United States - Bay City, MI Metro Area","Bay City, MI Metro Area",107771,107773,107681,107409,106966,106801,106066,105281,104469,104189,103923
0100000US,,United States,310M400US13140,13140,"United States - Beaumont-Port Arthur, TX Metro Area","Beaumont-Port Arthur, TX Metro Area",403190,403194,403707,405409,404035,405564,405964,409098,411263,412616,409526
0100000US,,United States,310M400US13220,13220,"United States - Beckley, WV Metro Area","Beckley, WV Metro Area",124898,124914,124949,125253,125110,124360,123346,122077,120457,118639,117272
0100000US,,United States,310M400US13380,13380,"United States - Bellingham, WA Metro Area","Bellingham, WA Metro Area",201140,201146,201547,203480,204880,206107,208215,211940,216569,221650,225685
0100000US,,United States,310M400US13460,13460,"United States - Bend-Redmond, OR Metro Area","Bend-Redmond, OR Metro Area",157733,157730,157743,159639,161345,165294,169506,174244,180649,186807,191996
0100000US,,United States,310M400US13740,13740,"United States - Billings, MT Metro Area","Billings, MT Metro Area",158934,158944,159330,160666,162590,164953,166554,167755,169198,170740,171677
0100000US,,United States,310M400US13780,13780,"United States - Binghamton, NY Metro Area","Binghamton, NY Metro Area",251725,251724,251489,250218,248939,248021,247084,245154,243167,241609,240219
0100000US,,United States,310M400US13820,13820,"United States - Birmingham-Hoover, AL Metro Area","Birmingham-Hoover, AL Metro Area",1128047,1128058,1128714,1130493,1133591,1138638,1141436,1144734,1147616,1149685,1151801
0100000US,,United States,310M400US13900,13900,"United States - Bismarck, ND Metro Area","Bismarck, ND Metro Area",114778,114779,115259,117084,120002,123671,126613,129661,131621,132418,132678
0100000US,,United States,310M400US13980,13980,"United States - Blacksburg-Christiansburg-Radford, VA Metro Area","Blacksburg-Christiansburg-Radford, VA Metro Area",178237,178254,178501,178821,179544,180727,181225,181345,182412,182692,184029
0100000US,,United States,310M400US14010,14010,"United States - Bloomington, IL Metro Area","Bloomington, IL Metro Area",186133,186135,186400,187439,189208,191418,190337,189341,189273,188754,188597
0100000US,,United States,310M400US14020,14020,"United States - Bloomington, IN Metro Area","Bloomington, IN Metro Area",159549,159536,160130,161699,162842,163223,164433,165050,166649,167513,167762
0100000US,,United States,310M400US14100,14100,"United States - Bloomsburg-Berwick, PA Metro Area","Bloomsburg-Berwick, PA Metro Area",85562,85561,85662,85446,85474,85597,85544,84994,84410,83924,83696
0100000US,,United States,310M400US14260,14260,"United States - Boise City, ID Metro Area","Boise City, ID Metro Area",616561,616566,617869,627640,637514,649411,662777,674874,691605,710080,730426
0100000US,,United States,310M400US14460,14460,"United States - Boston-Cambridge-Newton, MA-NH Metro Area","Boston-Cambridge-Newton, MA-NH Metro Area",4552402,4552598,4566449,4609467,4656698,4703321,4747822,4779753,4811098,4844597,4875390
0100000US,,United States,314M400US1446014454,1446014454,"United States - Boston-Cambridge-Newton, MA-NH Metro Area - Boston, MA Metro Division","Boston, MA Metro Division",1887792,1888034,1894788,1913010,1933567,1953892,1972803,1986895,2002540,2017741,2030772
0100000US,,United States,314M400US1446015764,1446015764,"United States - Boston-Cambridge-Newton, MA-NH Metro Area - Cambridge-Newton-Framingham, MA Metro Division","Cambridge-Newton-Framingham, MA Metro Division",2246244,2246204,2253172,2276207,2300255,2324987,2347015,2362950,2375605,2390154,2405352
0100000US,,United States,314M400US1446040484,1446040484,"United States - Boston-Cambridge-Newton, MA-NH Metro Area - Rockingham County-Strafford County, NH Metro Division","Rockingham County-Strafford County, NH Metro Division",418366,418360,418489,420250,422876,424442,428004,429908,432953,436702,439266
0100000US,,United States,310M400US14500,14500,"United States - Boulder, CO Metro Area","Boulder, CO Metro Area",294567,294561,295774,300897,305565,310247,313298,319175,322527,324073,326078
0100000US,,United States,310M400US14540,14540,"United States - Bowling Green, KY Metro Area","Bowling Green, KY Metro Area",158599,158608,159335,160984,162491,164697,166560,169488,171995,174962,177432
0100000US,,United States,310M400US14740,14740,"United States - Bremerton-Silverdale, WA Metro Area","Bremerton-Silverdale, WA Metro Area",251133,251143,251676,254281,254323,252403,253415,259320,263283,266550,269805
0100000US,,United States,310M400US14860,14860,"United States - Bridgeport-Stamford-Norwalk, CT Metro Area","Bridgeport-Stamford-Norwalk, CT Metro Area",916829,916864,919330,927897,935097,939991,944355,945301,944802,943457,943823
0100000US,,United States,310M400US15180,15180,"United States - Brownsville-Harlingen, TX Metro Area","Brownsville-Harlingen, TX Metro Area",406220,406215,407654,413291,416098,417705,419467,420058,422137,423181,423908
0100000US,,United States,310M400US15260,15260,"United States - Brunswick, GA Metro Area","Brunswick, GA Metro Area",112370,112371,112516,112865,113253,113762,114591,115822,116675,117728,118456
0100000US,,United States,310M400US15380,15380,"United States - Buffalo-Cheektowaga-Niagara Falls, NY Metro Area","Buffalo-Cheektowaga-Niagara Falls, NY Metro Area",1135509,1135614,1135622,1135456,1134590,1134993,1135116,1132909,1130013,1129660,1130152
0100000US,,United States,310M400US15500,15500,"United States - Burlington, NC Metro Area","Burlington, NC Metro Area",151131,151160,151440,152696,153282,154199,155425,157100,160392,163529,166436
0100000US,,United States,310M400US15540,15540,"United States - Burlington-South Burlington, VT Metro Area","Burlington-South Burlington, VT Metro Area",211261,211262,211534,213210,213955,214826,215677,217137,217435,218881,221083
0100000US,,United States,310M400US15680,15680,"United States - California-Lexington Park, MD Metro Area","California-Lexington Park, MD Metro Area",105151,105143,105762,107558,108805,109228,109926,110965,111689,112413,112664
0100000US,,United States,310M400US15940,15940,"United States - Canton-Massillon, OH Metro Area","Canton-Massillon, OH Metro Area",404422,404425,404212,403295,403416,403367,403696,402428,401069,399418,398655
0100000US,,United States,310M400US15980,15980,"United States - Cape Coral-Fort Myers, FL Metro Area","Cape Coral-Fort Myers, FL Metro Area",618754,618754,620454,631031,644243,659920,677361,699530,722386,739506,754610
0100000US,,United States,310M400US16020,16020,"United States - Cape Girardeau, MO-IL Metro Area","Cape Girardeau, MO-IL Metro Area",96275,96274,96449,96971,97208,97175,97408,97314,97108,96873,96982
0100000US,,United States,310M400US16060,16060,"United States - Carbondale-Marion, IL Metro Area","Carbondale-Marion, IL Metro Area",126575,126574,126808,127091,125837,127204,126769,126685,126256,125065,124475
0100000US,,United States,310M400US16180,16180,"United States - Carson City, NV Metro Area","Carson City, NV Metro Area",55274,55274,54986,54679,54319,53736,54096,54069,54147,54608,55414
