,country_left,genre,is_presale,max_tickets,num_markets,price_max,price_min,sold_out,state,subgenre,venue_name_left,Unnamed: 0_y,Venue,City,Capacity,popularity_sk,headliner,support,metro_area,country_right,city_name,days_to_event
36112,US,Country,1,50,1.0,,,1.0,CA,Country,Golden 1 Center,88.0,Golden 1 Center,Sacramento,"17,500 ",0.12428199999999999,Eric Church,none,Sacramento,US,Sacramento,246
17548,US,Rock,1,50,1.0,106.1,43.72,0.0,CA,Alternative Rock,Golden 1 Center,88.0,Golden 1 Center,Sacramento,"17,500 ",0.363619,Twenty One Pilots,none,Sacramento,US,Sacramento,254
32360,US,Hip-Hop/Rap,1,8,1.0,499.91,49.91,0.0,CA,French Rap,Golden 1 Center,88.0,Golden 1 Center,Sacramento,"17,500 ",0.363619,Twenty One Pilots,none,Sacramento,US,Sacramento,107
34041,US,Hip-Hop/Rap,1,8,1.0,499.91,49.91,0.0,CA,French Rap,Golden 1 Center,88.0,Golden 1 Center,Sacramento,"17,500 ",0.363619,Twenty One Pilots,none,Sacramento,US,Sacramento,107
348902,US,Rock,0,50,2.0,250.0,125.0,0.0,TX,Alternative Rock,Austin360 Amphitheater,566.0,Austin360 Amphitheater,Austin,"14,000",0.08081,Chevelle,none,Austin,US,Austin,119
347131,US,Rock,1,50,2.0,70.0,45.0,0.0,TX,Alternative Rock,Austin360 Amphitheater,566.0,Austin360 Amphitheater,Austin,"14,000",0.08081,Chevelle,none,Austin,US,Austin,143
36760,US,Metal,1,50,1.0,246.41,31.41,0.0,CA,Nu-Metal,Golden 1 Center,88.0,Golden 1 Center,Sacramento,"17,500 ",0.666628,Chris Brown,Ty Dolla $ign,Sacramento,US,Sacramento,337
10561,US,Rock,1,8,1.0,1599.0,25.5,0.0,CA,Pop,Levi's Stadium,90.0,Levi's Stadium,Santa Clara,"68,500[16]",0.48186,The Rolling Stones,Vista Kicks,SF Bay Area,US,Santa Clara,261
14921,US,Rock,1,4,1.0,72.5,34.5,0.0,CA,Pop,Golden 1 Center,88.0,Golden 1 Center,Sacramento,"17,500 ",0.069283,Ben Folds,Tall Heights,Sacramento,US,Sacramento,54
348727,US,Rock,0,50,2.0,250.0,125.0,0.0,TX,Pop,Austin360 Amphitheater,566.0,Austin360 Amphitheater,Austin,"14,000",0.353977,Bastille,Joywave,Austin,US,Austin,123
