msa_name,pop_2018
"Abilene, TX Metro Area",171451
"Akron, OH Metro Area",704845
"Albany, GA Metro Area",153009
"Albany, OR Metro Area",127335
"Albany-Schenectady-Troy, NY Metro Area",883169
"Albuquerque, NM Metro Area",915927
"Alexandria, LA Metro Area",153044
"Allentown-Bethlehem-Easton, PA-NJ Metro Area",842913
"Altoona, PA Metro Area",122492
"Amarillo, TX Metro Area",265947
"Ames, IA Metro Area",98105
"Anchorage, AK Metro Area",399148
"Ann Arbor, MI Metro Area",370963
"Anniston-Oxford-Jacksonville, AL Metro Area",114277
"Appleton, WI Metro Area",237524
"Asheville, NC Metro Area",459585
"Athens-Clarke County, GA Metro Area",211306
"Atlanta-Sandy Springs-Roswell, GA Metro Area",5949951
"Atlantic City-Hammonton, NJ Metro Area",265429
"Auburn-Opelika, AL Metro Area",163941
"Augusta-Richmond County, GA-SC Metro Area",604167
"Austin-Round Rock, TX Metro Area",2168316
"Bakersfield, CA Metro Area",896764
"Baltimore-Columbia-Towson, MD Metro Area",2802789
"Bangor, ME Metro Area",151096
"Barnstable Town, MA Metro Area",213413
"Baton Rouge, LA Metro Area",831310
"Battle Creek, MI Metro Area",134487
"Bay City, MI Metro Area",103923
"Beaumont-Port Arthur, TX Metro Area",409526
"Beckley, WV Metro Area",117272
"Bellingham, WA Metro Area",225685
"Bend-Redmond, OR Metro Area",191996
"Billings, MT Metro Area",171677
"Binghamton, NY Metro Area",240219
"Birmingham-Hoover, AL Metro Area",1151801
"Bismarck, ND Metro Area",132678
"Blacksburg-Christiansburg-Radford, VA Metro Area",184029
"Bloomington, IL Metro Area",188597
"Bloomington, IN Metro Area",167762
"Bloomsburg-Berwick, PA Metro Area",83696
"Boise City, ID Metro Area",730426
"Boston-Cambridge-Newton, MA-NH Metro Area",4875390
"Boston, MA Metro Division",2030772
"Cambridge-Newton-Framingham, MA Metro Division",2405352
"Rockingham County-Strafford County, NH Metro Division",439266
"Boulder, CO Metro Area",326078
"Bowling Green, KY Metro Area",177432
