,Venue,City,Capacity
0,Alabama Theatre,Birmingham,"2,176"
1,Iron City,Birmingham,"1,300"
2,Legion Field,Birmingham,"71,594"
3,Legacy Arena at the BJCC,Birmingham,"17,654"
4,Zydeco,Birmingham,600
5,Wells Fargo Arena,Dothan,"3,000"
6,The Shoals Theatre,Florence,"1,166"
7,Von Braun Center Arena,Huntsville,"13,760"
8,The Wharf Amphitheater,Orange Beach,"10,000"
9,Oak Mountain Amphitheatre,Pelham,"10,500"
10,Tuscaloosa Amphitheater,Tuscaloosa,"7,470"
11,Alaska Airlines Center,Anchorage,"5,000"
12,Sullivan Arena,Anchorage,"8,751"
13,Carlson Center,Fairbanks,"6,539"
14,Gila River Arena,Glendale,"19,000"
15,State Farm Stadium,Glendale,"72,200"
16,Talking Stick Resort Arena,Phoenix,"18,150"
17,Ak-Chin Pavilion,Phoenix,"20,000"
18,Chase Field,Phoenix,"48,519"
19,Comerica Theatre,Phoenix,"5,000"
20,Crescent Ballroom,Phoenix,550
21,Orpheum Theatre,Phoenix,"1,364"
22,Celebrity Theatre,Phoenix,"2,650"
23,Wells Fargo Arena,Tempe,"10,754"
24,Marquee Theatre,Tempe,"2,500"
25,Tucson Arena,Tucson,"9,275"
26,Fox Theatre,Tucson,"1,197"
27,Rialto Theatre,Tucson,"1,200"
28,War Memorial Stadium,Little Rock,"53,955"
29,Barton Coliseum,Little Rock,"7,150"
30,Verizon Arena,North Little Rock,"18,000"
31,Dickey–Stephens Park,North Little Rock,"7,201"
32,Walmart Arkansas Music Pavilion,Rogers,"9,500"
33,Honda Center,Anaheim,"18,325"
34,Angel Stadium,Anaheim,"45,957"
35,City National Grove of Anaheim,Anaheim,"1,700"
36,House of Blues,Anaheim,"1,100"
37,Dignity Health Sports Park,Carson,"30,510"
38,Rose Bowl,Pasadena,"92,000"
39,Concord Pavilion,Concord,"12,500"
40,The Fonda Theatre,Hollywood,"1,200"
41,Hollywood Palladium,Hollywood,"3,700"
42,The Roxy,Hollywood,500
43,Whisky a Go Go,West Hollywood,250
44,The Forum,Inglewood,"17,500"
45,Los Angeles Stadium at Hollywood Park,Inglewood,"100,000"
46,Long Beach Convention and Entertainment Center,Long Beach,"9,700"
47,Staples Center,Los Angeles,"19,000"
48,Hollywood Bowl,Los Angeles,"17,376"
49,Dodger Stadium,Los Angeles,"57,000"
50,The Greek Theatre,Los Angeles,"5,870"
51,Los Angeles Memorial Coliseum,Los Angeles,"93,610"
52,Shrine Auditorium,Los Angeles,"6,300"
53,Microsoft Theater,Los Angeles,"7,100"
54,The Novo by Microsoft,Los Angeles,"2,300"
55,Orpheum Theatre,Los Angeles,"2,000"
56,Pantages Theatre,Los Angeles,"2,703"
57,Royce Hall,Los Angeles,"1,800"
58,The Wiltern,Los Angeles,"2,300"
59,House of Blues,Los Angeles,"1,100"
60,Cow Palace,Daly City,"16,500"
61,Fox Theater,Pomona,"1,802"
62,Citizens Business Bank Arena,Ontario,"11,089"
63,Glen Helen Amphitheater,San Bernardino,"65,000"
64,Pechanga Arena,San Diego,"14,800"
65,Viejas Arena,San Diego,"12,210"
66,Petco Park,San Diego,"41,164"
67,SDCCU Stadium,San Diego,"70,100"
68,Humphrey's Concerts by the Bay,San Diego,"1,400"
69,Balboa Theatre,San Diego,"1,339"
70,Music Box[citation needed],San Diego,800
71,House of Blues,San Diego,"1,100"
72,Starlight Bowl,San Diego,"4,300"
73,Santa Barbara Bowl,Santa Barbara,"4,562"
74,Arlington Theater,Santa Barbara,"2,000"
75,Rabobank Arena,Bakersfield,"10,400"
76,Spectrum Amphitheatre,Bakersfield,"4,000"
77,Save Mart Center,Fresno,"16,182"
78,Selland Arena,Fresno,"11,300"
79,The Grand,San Francisco,"1,424"
80,The Warfield,San Francisco,"2,300"
81,SF Masonic Auditorium,San Francisco,"3,165"
82,The Independent,San Francisco,500
83,Great American Music Hall,San Francisco,600
84,Orpheum Theatre,San Francisco,"2,203"
85,AT&T Park,San Francisco,"41,920"
86,Chase Center,San Francisco,"18,000"
87,Bill Graham Civic Auditorium,San Francisco,"7,000"
88,Golden 1 Center,Sacramento,"17,500"
89,Shoreline Amphitheatre,Mountain View,"22,500"
90,Levi's Stadium,Santa Clara,"68,500"
91,Toyota Amphitheatre,Wheatland,"18,500"
92,Mattress Firm Amphitheatre,Chula Vista,"19,492"
93,Stockton Arena,Stockton,"10,414"
