Venue,City,Capacity
Alabama Theatre,Birmingham,"2,176"
Iron City,Birmingham,"1,300"
Legion Field,Birmingham,"71,594"
Legacy Arena at the BJCC,Birmingham,"17,654"
Zydeco,Birmingham,600
Wells Fargo Arena,Dothan,"3,000"
The Shoals Theatre,Florence,"1,166"
Von Braun Center Arena,Huntsville,"13,760"
The Wharf Amphitheater,Orange Beach,"10,000"
Oak Mountain Amphitheatre,Pelham,"10,500"
Tuscaloosa Amphitheater,Tuscaloosa,"7,470"
Alaska Airlines Center,Anchorage,"5,000"
Sullivan Arena,Anchorage,"8,751"
Carlson Center,Fairbanks,"6,539"
Gila River Arena,Glendale,"19,000"
State Farm Stadium,Glendale,"72,200"
Talking Stick Resort Arena,Phoenix,"18,150"
Ak-Chin Pavilion,Phoenix,"20,000"
Chase Field,Phoenix,"48,519"
Comerica Theatre,Phoenix,"5,000"
Crescent Ballroom,Phoenix,550
Orpheum Theatre,Phoenix,"1,364"
Celebrity Theatre,Phoenix,"2,650"
Wells Fargo Arena,Tempe,"10,754"
Marquee Theatre,Tempe,"2,500"
Tucson Arena,Tucson,"9,275"
Fox Theatre,Tucson,"1,197"
Rialto Theatre,Tucson,"1,200"
War Memorial Stadium,Little Rock,"53,955"
Barton Coliseum,Little Rock,"7,150"
Verizon Arena,North Little Rock,"18,000"
Dickey–Stephens Park,North Little Rock,"7,201"
Walmart Arkansas Music Pavilion,Rogers,"9,500"
Honda Center,Anaheim,"18,325"
Angel Stadium,Anaheim,"45,957"
City National Grove of Anaheim,Anaheim,"1,700"
House of Blues,Anaheim,"1,100"
Dignity Health Sports Park,Carson,"30,510"
Rose Bowl,Pasadena,"92,000"
Concord Pavilion,Concord,"12,500"
The Fonda Theatre,Hollywood,"1,200"
Hollywood Palladium,Hollywood,"3,700"
The Roxy,Hollywood,500
Whisky a Go Go,West Hollywood,250
The Forum,Inglewood,"17,500"
Los Angeles Stadium at Hollywood Park,Inglewood,"100,000"
Long Beach Convention and Entertainment Center,Long Beach,"9,700"
Staples Center,Los Angeles,"19,000"
Hollywood Bowl,Los Angeles,"17,376"
Dodger Stadium,Los Angeles,"57,000"
The Greek Theatre,Los Angeles,"5,870"
Los Angeles Memorial Coliseum,Los Angeles,"93,610"
Shrine Auditorium,Los Angeles,"6,300"
Microsoft Theater,Los Angeles,"7,100"
The Novo by Microsoft,Los Angeles,"2,300"
Orpheum Theatre,Los Angeles,"2,000"
Pantages Theatre,Los Angeles,"2,703"
Royce Hall,Los Angeles,"1,800"
The Wiltern,Los Angeles,"2,300"
House of Blues,Los Angeles,"1,100"
Cow Palace,Daly City,"16,500"
Fox Theater,Pomona,"1,802"
Citizens Business Bank Arena,Ontario,"11,089"
Glen Helen Amphitheater,San Bernardino,"65,000"
Pechanga Arena,San Diego,"14,800"
Viejas Arena,San Diego,"12,210"
Petco Park,San Diego,"41,164"
SDCCU Stadium,San Diego,"70,100"
Humphrey's Concerts by the Bay,San Diego,"1,400"
Balboa Theatre,San Diego,"1,339"
Music Box[citation needed],San Diego,800
House of Blues,San Diego,"1,100"
Starlight Bowl,San Diego,"4,300"
Santa Barbara Bowl,Santa Barbara,"4,562"
Arlington Theater,Santa Barbara,"2,000"
Rabobank Arena,Bakersfield,"10,400"
Spectrum Amphitheatre,Bakersfield,"4,000"
Save Mart Center,Fresno,"16,182"
Selland Arena,Fresno,"11,300"
The Grand,San Francisco,"1,424"
The Warfield,San Francisco,"2,300"
SF Masonic Auditorium,San Francisco,"3,165"
The Independent,San Francisco,500
Great American Music Hall,San Francisco,600
Orpheum Theatre,San Francisco,"2,203"
AT&T Park,San Francisco,"41,920"
Chase Center,San Francisco,"18,000"
Bill Graham Civic Auditorium,San Francisco,"7,000"
Golden 1 Center,Sacramento,"17,500"
Shoreline Amphitheatre,Mountain View,"22,500"
Levi's Stadium,Santa Clara,"68,500"
Toyota Amphitheatre,Wheatland,"18,500"
Mattress Firm Amphitheatre,Chula Vista,"19,492"
Stockton Arena,Stockton,"10,414"
SAP Center,San Jose,"19,190"
Event Center Arena,San Jose,"7,000"
City National Civic,San Jose,"3,500"
Oracle Arena,Oakland,"20,000"
Paramount Theatre,Oakland,"3,040"
Fox Oakland Theatre,Oakland,"2,800"
Chautauqua Auditorium,Boulder,"1,300"
Fox Theatre,Boulder,625
1stBank Center,Broomfield,"7,000"
Pikes Peak Center,Colorado Springs,"2,000"
Dick's Sporting Goods Park,Commerce City,"27,000"
Bluebird Theater,Denver,550
Broncos Stadium at Mile High,Denver,"76,125"
Pepsi Center,Denver,"21,000"
Denver Coliseum,Denver,"10,500"
Ogden Theatre,Denver,"1,600"
Paramount Theatre,Denver,"1,870"
