,index,uuid,title,slug,phone,website,age,description,status,featured,capacity,capacity_extra,notes,yelp,twitter,facebook,eventful,img_url,quickpitch,rating,popularity,vote_count,song_types,distance,postal_code,address,longitude,latitude,country_id,state_id,city_id,country,state,state_code,city,created_at,genres,blacklist_genres
0,data,925704e3-ae84-4e07-ac3f-26ac66f75a10,Rockwood Music Hall,rockwood-music-hall-new-york-new-york,212.477.4155,http://www.rockwoodmusichall.com,21,<p>They host live music 7 nights a week on all 3 stages; stage 3 is reserved for softer acts. All shows are FREE unless otherwise noted.</p>,enabled,0,70,"(Stage 1), 200 (Stage 2), 64 (stage 3).",,,https://twitter.com/RockwoodNYC,https://www.facebook.com/rockwoodmusichall/,V0-001-001015033-0,/resize/408-5.jpg,1,4.94,4.758322641640359,16,All Song Types,0,10002,196 Allen Street,-73.9887,40.7224,1,271,491,United States,New York,NY,New York,2008-09-02 04:40:43,"[{'id': 3, 'genre': 'All Genres', 'order': 0}]","[{'id': 84, 'genre': 'Hard Rock', 'order': 500}, {'id': 37, 'genre': 'Hardcore', 'order': 500}, {'id': 38, 'genre': 'Hip Hop', 'order': 500}, {'id': 45, 'genre': 'Metal', 'order': 500}, {'id': 57, 'genre': 'Punk', 'order': 500}, {'id': 59, 'genre': 'Rap', 'order': 500}, {'id': 68, 'genre': 'Screamo', 'order': 500}, {'id': 78, 'genre': 'Thrash', 'order': 500}]"
1,data,7fcb50e8-34c0-4c8c-ab2f-cd10ecc85771,Schubas,schubas-chicago-illinois,773.525.2508,http://www.lh-st.com,18,"<p>""The building that houses Schubas Tavern is a brick and masonry neo-Gothic treasure that's been a Lake View neighborhood landmark for 100 years."" Live music 7 nights a week. Shows can also be all ages or 21+ depending on what is arranged.</p>",enabled,0,200,,"<p>
	cap 325? vs. review.</p>",,http://www.twitter.com/schubas,https://www.facebook.com/lincolnhallschubas,V0-001-001507270-9,/resize/schubasimages.jpg,1,5.0,4.537513995447268,5,All Song Types,0,60657,3159 N. Southport Avenue,-87.6637,41.9397,1,249,357,United States,Illinois,IL,Chicago,2008-09-02 04:40:43,"[{'id': 3, 'genre': 'All Genres', 'order': 0}]",[]
2,data,70b3f98b-b42d-4273-81f9-82a2d8b6eb89,Shrine World Music Venue,shrine-world-music-venue-new-york-new-york,212.690.7807,http://www.shrinenyc.com,0,"<p>""Shrine is a multimedia arts and culture venue, founded in 2007 by musicians and music lovers in the music capital of Harlem."" They host live music 7 nights a week.</p>",enabled,0,130,"standing, 74 seated, 20 outside.",,,http://twitter.com/SHRINEnyc,https://www.facebook.com/shrineharlem/,V0-001-000480783-5,/resize/shrine.jpg,1,4.85,4.524613817330215,7,All Song Types,0,10030,2271 7th Avenue,-73.9443,40.8143,1,271,491,United States,New York,NY,New York,2009-06-25 16:03:17,"[{'id': 9, 'genre': 'Blues', 'order': 500}, {'id': 28, 'genre': 'Folk', 'order': 500}, {'id': 41, 'genre': 'Jam Band', 'order': 500}, {'id': 42, 'genre': 'Jazz', 'order': 500}, {'id': 43, 'genre': 'Latin', 'order': 500}, {'id': 58, 'genre': 'R&B', 'order': 500}, {'id': 60, 'genre': 'Reggae', 'order': 500}, {'id': 71, 'genre': 'Ska', 'order': 500}, {'id': 72, 'genre': 'Soul', 'order': 500}, {'id': 85, 'genre': 'World', 'order': 500}]",[]
3,data,c5c2e4de-47ac-494a-9646-813ffaf6e1d4,Ralphs Diner,ralphs-diner-worcester-massachusetts,508.753.9543,http://www.ralphsrockdiner.com,21,"<p>""Kickin' ass for over 30 years. Ralph's Diner is legendary to the live music scene. Local Acts, National Acts, Touring Bands.""&nbsp;Most shows are held upstairs on Thursday, Friday, and Saturday nights, but they are flexible. Metal Thursday usually runs twice a month, every other Thursday.</p>",enabled,0,200,,,,https://twitter.com/RalphsDiner,https://www.facebook.com/ralphsrockdiner,V0-001-000380751-9,/resize/ralph211359_1295358211_6214486_n.jpg,1,4.83,4.473372640453634,6,All Song Types,0,01605,148 Grove Street,-71.8029,42.2778,1,254,606,United States,Massachusetts,MA,Worcester,2008-09-02 04:40:43,"[{'id': 3, 'genre': 'All Genres', 'order': 0}]",[]
4,data,be598df3-ff24-4dd9-9f3b-710f781e4b31,Velveteen Rabbit,velveteen-rabbit-las-vegas-nevada,702.685.9645,http://velveteenrabbitlv.com,21,"<p>""Velveteen Rabbit is a magical space situated in the heart of the Las Vegas Arts District."" They can host a show any night of the week, but only do so about once a month, if that.</p>",enabled,0,83,"inside, 186 outside.",,,,https://www.facebook.com/velveteenrabbitlv,V0-001-007438128-8,/resize/vel319129_296606990363725_916435295_n.jpg,0,5.0,4.46840328520206,4,All Song Types,0,89104,1218 S. Main Street,-115.154,36.1567,1,270,448,United States,Nevada,NV,Las Vegas,2014-01-17 21:14:45,"[{'id': 203, 'genre': 'Acoustic', 'order': 500}, {'id': 4, 'genre': 'Alternative', 'order': 500}, {'id': 6, 'genre': 'Americana', 'order': 500}, {'id': 21, 'genre': 'DJ', 'order': 500}, {'id': 28, 'genre': 'Folk', 'order': 500}, {'id': 39, 'genre': 'Indie', 'order': 500}, {'id': 42, 'genre': 'Jazz', 'order': 500}, {'id': 55, 'genre': 'Psychedelic', 'order': 500}, {'id': 63, 'genre': 'Rock', 'order': 500}, {'id': 217, 'genre': 'Singer-Songwriter', 'order': 500}, {'id': 85, 'genre': 'World', 'order': 500}]",[]
5,data,e2cbfd60-8119-4137-bc0f-81c898d52a05,Theatre of Living Arts (TLA),theatre-of-living-arts-tla-philadelphia-pennsylvania,215.922.1011,http://venue.tlaphilly.com,0,"<p>
	Additional Websites: <a href=""http://www.facebook.com/TLAPhilly"" target=""_blank"">Facebook</a> and <a href=""https://twitter.com/TLAPhilly"" target=""_blank"">Twitter</a>. &quot;The Theater of the Living Arts, fondly known as The TLA, was a movie house in its early years, showing art house films and weekly midnight screenings of The Rocky Horror Picture Show. Since then, it has become Philadelphia&rsquo;s premiere small concert venue, welcoming up and coming artists from all genres to rock the 1,000 concert goers it is able to hold within its walls.&quot;</p>
<p>
	&nbsp;</p>
<p>
	Live music can be held any night of the week.</p>",enabled,0,1000,,,,https://twitter.com/TLAPhilly,http://www.facebook.com/TLAPhilly,V0-001-001430165-9,/resize/238-4.jpg,1,4.71,4.423499063231853,7,All Song Types,0,19147,334 South Street,-75.1487,39.9413,1,275,508,United States,Pennsylvania,PA,Philadelphia,2011-12-26 11:42:50,"[{'id': 3, 'genre': 'All Genres', 'order': 0}]",[]
6,data,7cbb8d96-30e2-4b1b-ab03-1f41429cbcb3,3 Kings Tavern,3-kings-tavern-denver-colorado,303.777.7352,http://www.3kingstavern.com,21,"<p>""Denver's Premiere Rock Establishment. Serving Booze, Bands and Buddies 365 days a year."" Shows can take place any night of the week.</p>",enabled,0,450,,,,http://twitter.com/3KingsTavern,http://www.facebook.com/3kingstavern,V0-001-000171145-8,/resize/3_kings539865_10150913308729465_1156859424_n.jpg,1,4.8,4.4075080937526385,5,All Song Types,0,80209,60 S. Broadway,-104.987,39.7155,1,238,383,United States,Colorado,CO,Denver,2008-09-02 04:40:43,"[{'id': 3, 'genre': 'All Genres', 'order': 0}]",[]
7,data,2415eccb-8def-4328-b5cb-0738c5cc3035,The Mothlight,the-mothlight-asheville-north-carolina,,http://themothlight.com,21,"<p>
	Additional Websites: <a href=""https://www.facebook.com/themothlight"" target=""_blank"">Facebook</a>, <a href=""https://twitter.com/themothlight"" target=""_blank"">Twitter</a>, and <a href=""https://www.instagram.com/themothlight/"" target=""_blank"">Instagram</a>. ""The Mothlight is a new music venue occupying the historic Mr. Fred's Beds building on Haywood Rd in West Asheville, NC. Our goal is to provide a home for local and traveling musicians alike who value creative artistic expression.""&nbsp;Live music can be held 7 nights a week.</p>",enabled,0,250,,,,https://twitter.com/themothlight,https://www.facebook.com/themothlight,V0-001-007271843-3,/resize/1234660_205416486293177_2040144335_n.png,1,5.0,4.375008943830471,3,Originals Only,0,28806,701 Haywood Road,-82.5918,35.5776,1,264,314,United States,North Carolina,NC,Asheville,2014-03-11 10:19:12,"[{'id': 3, 'genre': 'All Genres', 'order': 0}]",[]
8,data,c24ab79d-38ba-4314-b8ba-18c3490a2aa2,The Lost Church,the-lost-church-san-francisco-california,,http://www.thelostchurch.com,0,"<p>""The Lost Church is a 501(c)(3) non-profit dedicated to Creating, Sustaining, and Defending Spaces for Live Performance. Our mission is to open more 49-seat theaters in the San Francisco Bay Area, California, and throughout the United States. Our original TLC venue at 65 Capp Street, San Francisco, is a multi-media theatrical production house and intimate, yet energetic acoustic listening room."" Most concerts take place Tuesday - Saturday nights.</p>",enabled,0,49,seated.,"<p>
	Brett Cline, friend of KC Turner, is owner.</p>",,https://twitter.com/TheLostChurch,https://www.facebook.com/TheLostChurch/,V0-001-005351193-6,/resize/18274898_1556838087662330_4891872653378810568_n.jpg,1,5.0,4.375008943830471,3,All Song Types,0,94103,65 Capp Street,-122.418,37.7658,1,237,544,United States,California,CA,San Francisco,2017-06-19 13:38:15,"[{'id': 203, 'genre': 'Acoustic', 'order': 500}, {'id': 6, 'genre': 'Americana', 'order': 500}, {'id': 9, 'genre': 'Blues', 'order': 500}, {'id': 16, 'genre': 'Comedy', 'order': 500}, {'id': 28, 'genre': 'Folk', 'order': 500}, {'id': 38, 'genre': 'Hip Hop', 'order': 500}, {'id': 39, 'genre': 'Indie', 'order': 500}, {'id': 57, 'genre': 'Punk', 'order': 500}, {'id': 217, 'genre': 'Singer-Songwriter', 'order': 500}, {'id': 92, 'genre': 'Soft Rock', 'order': 500}, {'id': 72, 'genre': 'Soul', 'order': 500}]",[]
9,data,d8b6423f-a0dd-43b7-942d-433276a2ac98,Kilted Mermaid,kilted-mermaid-vero-beach-florida,772.569.5533,http://www.kiltedmermaid.com,0,"<p>
	Additional Website: <a href=""https://www.facebook.com/pages/Kilted-Mermaid/116193255128849"" target=""_blank"">Facebook</a>. &quot;<span style=""font-family: arial, sans-serif; font-size: small;"">Kilted Mermaid is a neighborhood craft beer and wine bar featuring more than 25 local and global wines by the glass, and 80+ craft and import beers. Kilted Mermaid is a funky, eclectic neighborhood pub with a chill atmosphere.&quot;&nbsp;</span>They host open mic on Wednesday nights and shows Friday-Sunday nights. The venue becomes 21+ at 11 PM. All shows are FREE.</p>",enabled,0,60,seated.,,,,https://www.facebook.com/pages/Kilted-Mermaid/116193255128849,V0-001-005010949-3,/resize/kilted71442_442949669119871_1847581230_n.jpg,1,5.0,4.375008943830471,3,All Song Types,0,32960,1937 Old Dixie Highway,-80.3987,27.637,1,242,591,United States,Florida,FL,Vero Beach,2014-01-22 14:00:47,"[{'id': 9, 'genre': 'Blues', 'order': 500}, {'id': 11, 'genre': 'Celtic', 'order': 500}, {'id': 28, 'genre': 'Folk', 'order': 500}, {'id': 39, 'genre': 'Indie', 'order': 500}, {'id': 63, 'genre': 'Rock', 'order': 500}, {'id': 64, 'genre': 'Rockabilly', 'order': 500}, {'id': 65, 'genre': 'Roots Music', 'order': 500}, {'id': 217, 'genre': 'Singer-Songwriter', 'order': 500}, {'id': 72, 'genre': 'Soul', 'order': 500}]","[{'id': 13, 'genre': 'Classic Rock', 'order': 500}, {'id': 38, 'genre': 'Hip Hop', 'order': 500}, {'id': 59, 'genre': 'Rap', 'order': 500}]"
