,is_ga,popularity_sg,short_title,listing_count,average_price,median_price,lowest_price,venue_name,venue_popularity,venue_address,venue_city,venue_state,venue_zip,venue_id,headliner
0,0.0,0.0,Vandoliers,,,,,The Nick,0,2514 10th Ave S,Birmingham,AL,35205,479986,Vandoliers
1,0.0,0.496,Jamie Kent with Jimmy Hall,,,,,Montgomery Performing Arts Centre,0,201 Tallapoosa Street,Montgomery,AL,36104,1037,Jimmy Hall
2,0.0,0.513,Jamie Kent,,,,,Montgomery Performing Arts Centre,0,201 Tallapoosa Street,Montgomery,AL,36104,1037,Jamie Kent
3,0.0,0.474,Jen Kirkman (18+),3.0,58.0,57.0,57.0,Saturn,0,200 41st Street South,Birmingham,AL,35222,78349,Jen Kirkman
4,0.0,0.0,Adam Hood with The Red Clay Strays,,,,,Zydeco,0,2001 15th Avenue South,Birmingham,AL,35205,3671,Adam Hood
5,0.0,0.582,Midland: Little Big Town,65.0,82.0,79.0,26.0,Tuscaloosa Amphitheater,0,2710 Jack Warner Pkwy.,Tuscaloosa,AL,35401,3990,Little Big Town
6,0.0,0.552,The SteelDrivers,9.0,81.0,78.0,53.0,The Lyric Theatre,0,1800 3rd Ave N,Birmingham,AL,35203,216877,The SteelDrivers
7,1.0,0.0,Summer Supper & KJAMS,,,,,The Plant,0,308 N Saint Andrews St,Dothan,AL,36303,436602,Summer Supper & KJAMS
8,0.0,0.51,Jimmy Hall,15.0,72.0,55.0,50.0,Montgomery Performing Arts Centre,0,201 Tallapoosa Street,Montgomery,AL,36104,1037,Jimmy Hall
9,0.0,0.664,Country Megaticket: Brad Paisley,,,,,Oak Mountain Amphitheatre,0,1000 Amphitheater Road,Pelham,AL,35124,175,Brad Paisley
10,0.0,0.723,Thomas Rhett with Dustin Lynch and Russell Dickerson,85.0,145.0,115.0,73.0,Oak Mountain Amphitheatre,0,1000 Amphitheater Road,Pelham,AL,35124,175,Dustin Lynch
11,0.0,0.45,Johnny Gill (21+),,,,,Wind Creek Casino and Hotel Wetumpka,0,100 River Oaks Drive,Wetumpka,AL,36092,74518,Johnny Gill
12,1.0,0.502,Bun B (18+),11.0,86.0,81.0,69.0,Soul Kitchen,0,219 Dauphin St.,Mobile,AL,36602,3626,Bun B
13,0.0,0.627,Midland: Little Big Town,139.0,81.0,74.0,22.0,The Wharf,0,4673 Wharf Pkwy.,Orange Beach,AL,36561,290,Little Big Town
14,0.0,0.0,Matt Stell,,,,,Zydeco,0,2001 15th Avenue South,Birmingham,AL,35205,3671,Matt Stell
15,0.0,0.608,Heart with Brandi Carlile and Elle King,274.0,179.0,114.0,13.0,Oak Mountain Amphitheatre,0,1000 Amphitheater Road,Pelham,AL,35124,175,Brandi Carlile
16,0.0,0.626,Pentatonix with Rachel Platten,198.0,151.0,128.0,30.0,The Wharf,0,4673 Wharf Pkwy.,Orange Beach,AL,36561,290,Rachel Platten
