,links,metro_code,postal_code,timezone,has_upcoming_events,id,city,stats,extended_address,display_location,state,score,location,access_method,num_upcoming_events,address,capacity,slug,name,url,country,popularity,name_v2,tm_venue
0,[],630,35203,America/Chicago,True,618,Birmingham,{'event_count': 52},"Birmingham, AL 35203","Birmingham, AL",AL,0.59332687,"{'lat': 33.5149, 'lon': -86.8091}",,52,1817 Third Ave. North,2176,alabama-theatre,Alabama Theatre,https://seatgeek.com/venues/alabama-theatre/tickets,US,0,Alabama Theatre,Alabama Theatre
1,[],630,35203,America/Chicago,True,1281,Birmingham,{'event_count': 45},"Birmingham, AL 35203","Birmingham, AL",AL,0.57521176,"{'lat': 33.5239, 'lon': -86.8128}",,45,2100 Richard Arrington Blvd,2835,bjcc-concert-hall,BJCC Concert Hall,https://seatgeek.com/venues/bjcc-concert-hall/tickets,US,0,BJCC Concert Hall,BJCC Concert Hall
2,[],630,35203,America/Chicago,True,115,Birmingham,{'event_count': 17},"Birmingham, AL 35203","Birmingham, AL",AL,0.69629383,"{'lat': 33.5239, 'lon': -86.8128}",,17,2100 Richard Arrington Jr. Blvd,17500,legacy-arena-at-the-bjcc,Legacy Arena at The BJCC,https://seatgeek.com/venues/legacy-arena-at-the-bjcc/tickets,US,0,Legacy Arena at The BJCC,Legacy Arena at The BJCC 
3,[],630,35401,America/Chicago,True,3990,Tuscaloosa,{'event_count': 2},"Tuscaloosa, AL 35401","Tuscaloosa, AL",AL,0.64299494,"{'lat': 33.2122, 'lon': -87.5747}",,2,2710 Jack Warner Pkwy.,7470,tuscaloosa-amphitheater,Tuscaloosa Amphitheater,https://seatgeek.com/venues/tuscaloosa-amphitheater/tickets,US,0,Tuscaloosa Amphitheater,Tuscaloosa Amphitheater
4,[],691,35801,America/Chicago,True,1808,Huntsville,{'event_count': 75},"Huntsville, AL 35801","Huntsville, AL",AL,0.589764,"{'lat': 34.7267, 'lon': -86.5902}",,75,700 Monroe St SW,10000,von-braun-center-propst-arena,Von Braun Center Propst Arena,https://seatgeek.com/venues/von-braun-center-propst-arena/tickets,US,0,Von Braun Center Propst Arena,Von Braun Center Concert Hall
5,[],698,36104,America/Chicago,True,1037,Montgomery,{'event_count': 15},"Montgomery, AL 36104","Montgomery, AL",AL,0.5229532,"{'lat': 32.3801, 'lon': -86.3121}",,15,201 Tallapoosa Street,1200,montgomery-performing-arts-centre,Montgomery Performing Arts Centre,https://seatgeek.com/venues/montgomery-performing-arts-centre/tickets,US,0,Montgomery Performing Arts Centre,Montgomery Performing Arts Centre
6,[],686,36602,America/Chicago,True,1381,Mobile,{'event_count': 7},"Mobile, AL 36602","Mobile, AL",AL,0.59432226,"{'lat': 30.6866, 'lon': -88.0451}",,7,401 Civic Center Drive,10112,mobile-civic-center,Mobile Civic Center,https://seatgeek.com/venues/mobile-civic-center/tickets,US,0,Mobile Civic Center,Mobile Civic Center Theater
7,[],686,36602,America/Chicago,True,1528,Mobile,{'event_count': 6},"Mobile, AL 36602","Mobile, AL",AL,0.53958297,"{'lat': 30.6908, 'lon': -88.0438}",,6,6 South Joachim St.,1921,saenger-theatre-mobile,Saenger Theatre Mobile,https://seatgeek.com/venues/saenger-theatre-mobile/tickets,US,0,Saenger Theatre Mobile,Saenger Theatre Mobile
8,[],630,35203,America/Chicago,True,216877,Birmingham,{'event_count': 15},"Birmingham, AL 35203","Birmingham, AL",AL,0.50556636,"{'lat': 33.5153, 'lon': -86.8096}",,15,1800 3rd Ave N,750,the-lyric-theatre-5,The Lyric Theatre,https://seatgeek.com/venues/the-lyric-theatre-5/tickets,US,0,The Lyric Theatre,The Lyric Theatre
9,[],691,35801,America/Chicago,True,1808,Huntsville,{'event_count': 75},"Huntsville, AL 35801","Huntsville, AL",AL,0.589764,"{'lat': 34.7267, 'lon': -86.5902}",,75,700 Monroe St SW,10000,von-braun-center-propst-arena,Von Braun Center Propst Arena,https://seatgeek.com/venues/von-braun-center-propst-arena/tickets,US,0,Von Braun Center Propst Arena,Von Braun Center Arena
10,[],630,35124,America/Chicago,True,175,Pelham,{'event_count': 1},"Pelham, AL 35124","Pelham, AL",AL,0.7355731,"{'lat': 33.3313, 'lon': -86.7845}",,1,1000 Amphitheater Road,24000,oak-mountain-amphitheatre,Oak Mountain Amphitheatre,https://seatgeek.com/venues/oak-mountain-amphitheatre/tickets,US,0,Oak Mountain Amphitheatre,Oak Mountain Amphitheatre
11,[],686,36502,America/Chicago,False,1240,Atmore,{'event_count': 0},"Atmore, AL 36502","Atmore, AL",AL,0.5193372,"{'lat': 31.1, 'lon': -87.48}",,0,303 Poarch Road,0,wind-creek-casino-and-hotel,Wind Creek Casino and Hotel,https://seatgeek.com/venues/wind-creek-casino-and-hotel/tickets,US,0,Wind Creek Casino and Hotel,Wind Creek Casino & Hotel - Wetumpka
12,[],630,35205,America/Chicago,True,479986,Birmingham,{'event_count': 4},"Birmingham, AL 35205","Birmingham, AL",AL,0.0,"{'lat': 33.5054, 'lon': -86.7905}",,4,2514 10th Ave S,0,the-nick,The Nick,https://seatgeek.com/venues/the-nick/tickets,US,0,The Nick,The Nick
13,[],686,36602,America/Chicago,True,3626,Mobile,{'event_count': 6},"Mobile, AL 36602","Mobile, AL",AL,0.47839624,"{'lat': 30.6912, 'lon': -88.0435}",,6,219 Dauphin St.,1000,soul-kitchen,Soul Kitchen,https://seatgeek.com/venues/soul-kitchen/tickets,US,0,Soul Kitchen,Soul Kitchen
14,[],630,35205,America/Chicago,True,3671,Birmingham,{'event_count': 6},"Birmingham, AL 35205","Birmingham, AL",AL,0.3999259,"{'lat': 33.4973, 'lon': -86.7931}",,6,2001 15th Avenue South,600,zydeco,Zydeco,https://seatgeek.com/venues/zydeco/tickets,US,0,Zydeco,Zydeco
15,[],691,35801,America/Chicago,True,1808,Huntsville,{'event_count': 75},"Huntsville, AL 35801","Huntsville, AL",AL,0.589764,"{'lat': 34.7267, 'lon': -86.5902}",,75,700 Monroe St SW,10000,von-braun-center-propst-arena,Von Braun Center Propst Arena,https://seatgeek.com/venues/von-braun-center-propst-arena/tickets,US,0,Von Braun Center Propst Arena,Von Braun Center Playhouse
16,[],698,36117,America/Chicago,False,203877,Montgomery,{'event_count': 0},"Montgomery, AL 36117","Montgomery, AL",AL,0.0,"{'lat': 32.4254, 'lon': -86.1394}",,0,1801 Eddie L. Tullis Road,0,bb-king-s-blues-club-1,BB King's Blues Club,https://seatgeek.com/venues/bb-king-s-blues-club-1/tickets,US,0,BB King's Blues Club,BB King's Blues Club - Montgomery
17,[],745,99701,America/Anchorage,True,3790,Fairbanks,{'event_count': 19},"Fairbanks, AK 99701","Fairbanks, AK",AK,0.5251956,"{'lat': 64.8413, 'lon': -147.762}",,19,2010 2nd Ave,6539,carlson-center,Carlson Center,https://seatgeek.com/venues/carlson-center/tickets,US,0,Carlson Center,Carlson Center
18,[],743,99501,America/Anchorage,True,2205,Anchorage,{'event_count': 1},"Anchorage, AK 99501","Anchorage, AK",AK,0.47973773,"{'lat': 61.2178, 'lon': -149.893}",,1,555 West 5th Avenue,0,william-a-egan-civic-and-convention-center,William A Egan Civic and Convention Center,https://seatgeek.com/venues/william-a-egan-civic-and-convention-center/tickets,US,0,William A Egan Civic and Convention Center,William a Egan Civic and Convention Center
19,[],753,85305,America/Phoenix,True,258,Glendale,{'event_count': 47},"Glendale, AZ 85305","Glendale, AZ",AZ,0.76189077,"{'lat': 33.5315, 'lon': -112.261}","{'employee_only': False, 'created_at': '2015-08-12T18:29:04Z', 'method': 'QRCODE_TM'}",47,9400 West Maryland,19000,gila-river-arena,Gila River Arena,https://seatgeek.com/venues/gila-river-arena/tickets,US,0,Gila River Arena,Gila River Arena
20,[],753,85004,America/Phoenix,True,130,Phoenix,{'event_count': 62},"Phoenix, AZ 85004","Phoenix, AZ",AZ,0.734569,"{'lat': 33.4458, 'lon': -112.071}","{'employee_only': False, 'created_at': '2018-08-10T22:19:19Z', 'method': 'QRCODE_TM'}",62,201 East Jefferson Street,18422,talking-stick-resort-arena,Talking Stick Resort Arena,https://seatgeek.com/venues/talking-stick-resort-arena/tickets,US,0,Talking Stick Resort Arena,Talking Stick Resort Arena
21,[],789,85701,America/Phoenix,True,3565,Tucson,{'event_count': 48},"Tucson, AZ 85701","Tucson, AZ",AZ,0.61594504,"{'lat': 32.2178, 'lon': -110.974}",,48,260 South Church Ave.,9275,tucson-arena,Tucson Arena,https://seatgeek.com/venues/tucson-arena/tickets,US,0,Tucson Arena,Tucson Arena
22,[],753,85003,America/Phoenix,True,3416,Phoenix,{'event_count': 51},"Phoenix, AZ 85003","Phoenix, AZ",AZ,0.66682965,"{'lat': 33.4489, 'lon': -112.079}","{'employee_only': False, 'created_at': '2015-07-31T00:00:00Z', 'method': 'QRCODE_TM'}",51,400 West Washington Street,5000,comerica-theatre,Comerica Theatre,https://seatgeek.com/venues/comerica-theatre/tickets,US,0,Comerica Theatre,Comerica Theatre 
23,[],753,85281,America/Phoenix,True,753,Tempe,{'event_count': 36},"Tempe, AZ 85281","Tempe, AZ",AZ,0.49860683,"{'lat': 33.4369, 'lon': -111.944}",,36,730 North Mill Avenue,1000,marquee-theatre,Marquee Theatre,https://seatgeek.com/venues/marquee-theatre/tickets,US,0,Marquee Theatre,Marquee Theatre
24,[],753,85004,America/Phoenix,True,130,Phoenix,{'event_count': 62},"Phoenix, AZ 85004","Phoenix, AZ",AZ,0.734569,"{'lat': 33.4458, 'lon': -112.071}","{'employee_only': False, 'created_at': '2018-08-10T22:19:19Z', 'method': 'QRCODE_TM'}",62,201 East Jefferson Street,18422,talking-stick-resort-arena,Talking Stick Resort Arena,https://seatgeek.com/venues/talking-stick-resort-arena/tickets,US,0,Talking Stick Resort Arena,Talking Stick Resort
25,[],789,85719,America/Phoenix,True,1406,Tucson,{'event_count': 79},"Tucson, AZ 85719","Tucson, AZ",AZ,0.5313905,"{'lat': 32.2226, 'lon': -110.975}",,79,1020 East University Boulevard,2526,centennial-hall-2,Centennial Hall,https://seatgeek.com/venues/centennial-hall-2/tickets,US,0,Centennial Hall,Centennial Hall
26,[],753,85003,America/Phoenix,True,1208,Phoenix,{'event_count': 37},"Phoenix, AZ 85003","Phoenix, AZ",AZ,0.5216857,"{'lat': 33.449, 'lon': -112.077}",,37,203 West Adams Street,1364,orpheum-theatre-phoenix,Orpheum Theatre Phoenix,https://seatgeek.com/venues/orpheum-theatre-phoenix/tickets,US,0,Orpheum Theatre Phoenix,Orpheum Theatre
27,[],753,85225,America/Phoenix,True,1147,Chandler,{'event_count': 62},"Chandler, AZ 85225","Chandler, AZ",AZ,0.4531344,"{'lat': 33.3073, 'lon': -111.842}",,62,250 North Arizona Avenue,1500,chandler-center-for-the-arts,Chandler Center for the Arts,https://seatgeek.com/venues/chandler-center-for-the-arts/tickets,US,0,Chandler Center for the Arts,Chandler Center for the Arts
28,[],753,85226,America/Phoenix,True,86582,Chandler,{'event_count': 1},"Chandler, AZ 85226","Chandler, AZ",AZ,0.0,"{'lat': 33.2698, 'lon': -111.984}",,1,5700 W N Loop Rd,0,rawhide-event-center,Rawhide Event Center,https://seatgeek.com/venues/rawhide-event-center/tickets,US,0,Rawhide Event Center,Rawhide Event Center
29,[],789,85701,America/Phoenix,True,3211,Tucson,{'event_count': 39},"Tucson, AZ 85701","Tucson, AZ",AZ,0.5383477,"{'lat': 32.2215, 'lon': -110.97}",,39,260 South Church Avenue,2289,tucson-music-hall,Tucson Music Hall,https://seatgeek.com/venues/tucson-music-hall/tickets,US,0,Tucson Music Hall,Tucson Music Hall
30,[],753,85226,America/Phoenix,True,8901,Chandler,{'event_count': 2},"Chandler, AZ 85226","Chandler, AZ",AZ,0.5080361,"{'lat': 33.2817, 'lon': -111.974}",,2,5040 Wild Horse Pass Boulevard,1400,ovations-live-at-wild-horse-pass-resort-and-casino,Ovations LIVE! at Wild Horse Pass Resort and Casino,https://seatgeek.com/venues/ovations-live-at-wild-horse-pass-resort-and-casino/tickets,US,0,Ovations LIVE! at Wild Horse Pass Resort and Casino,Wild Horse Pass Hotel & Casino
31,[],753,85003,America/Phoenix,True,429111,Phoenix,{'event_count': 2},"Phoenix, AZ 85003","Phoenix, AZ",AZ,0.0,"{'lat': 33.4511, 'lon': -112.079}",,2,401 W. Van Buren St.,1800,the-van-buren,The Van Buren,https://seatgeek.com/venues/the-van-buren/tickets,US,0,The Van Buren,The Van Buren
32,[],753,85253,America/Phoenix,True,7442,Scottsdale,{'event_count': 6},"Scottsdale, AZ 85253","Scottsdale, AZ",AZ,0.0,"{'lat': 33.5265, 'lon': -111.926}",,6,6110 North Scottsdale Road,0,asu-kerr-cultural-center,ASU Kerr Cultural Center,https://seatgeek.com/venues/asu-kerr-cultural-center/tickets,US,0,ASU Kerr Cultural Center,ASU Kerr Cultural Center
33,[],753,85201,America/Phoenix,True,60666,Mesa,{'event_count': 2},"Mesa, AZ 85201","Mesa, AZ",AZ,0.45140052,"{'lat': 33.4235, 'lon': -111.859}",,2,1306 W. University,0,club-red-west-theater,Club Red West Theater,https://seatgeek.com/venues/club-red-west-theater/tickets,US,0,Club Red West Theater,Club Red
