,id,popularity_sk,type,venue_id,headliner,support,event_time
0,38048224,6.6e-05,Concert,2868,Jose Negroni,Negroni's Trio,2019-08-23 20:00:00-04:00
1,38049129,6.6e-05,Concert,2868,Jose Negroni,Negroni's Trio,2019-09-29 17:00:00-04:00
2,37362664,0.000643,Concert,2868,Benise,,2019-10-12 20:00:00-04:00
3,38998599,0.000194,Concert,2868,Enrique Chia,,2019-10-13 15:00:00-04:00
4,38971387,6e-06,Concert,2868,Meme Solis,,2019-10-19 20:00:00-04:00
5,38364779,0.059744,Concert,3476389,Chris Isaak,,2019-08-22 20:00:00-05:00
6,37895099,0.017495,Concert,3476389,Pepe Aguilar,Angela Aguilar,2019-09-05 20:00:00-05:00
7,39056202,0.007932,Concert,3476389,The Oak Ridge Boys,,2019-10-05 19:30:00-05:00
8,38968864,0.199991,Concert,16521,Tim McGraw,,2019-08-17 20:00:00-04:00
9,38340279,0.269926,Concert,16521,Journey,,2019-10-02 20:00:00-04:00
10,38121884,0.343875,Concert,1274086,Nickelback,,2019-08-16 20:00:00-05:00
11,38077529,0.049127,Festival,682,MAX,Resurrection - A Journey Tribute,
12,37313724,0.0236,Concert,682,Why Don't We,Eben (Pop),2019-08-13 19:30:00-05:00
13,37112469,0.096055,Concert,682,Pentatonix,Rachel Platten,2019-08-14 19:30:00-05:00
14,39031367,0.096055,Concert,682,Pentatonix,,2019-08-14 23:59:00-05:00
15,38989442,0.004245,Concert,682,Restless Heart,Ryan Griffin,2019-08-15 20:00:00-05:00
16,37318059,0.421008,Concert,682,Snoop Dogg,Tha Dogg Pound,2019-08-16 19:30:00-05:00
17,37714604,0.135345,Concert,682,Shinedown,,2019-08-17 19:30:00-05:00
18,38995589,0.002526,Concert,682,Tucker Beathard,,
19,37622529,0.042534,Concert,682,Rachel Wammack,Reba McEntire,2019-08-18 19:30:00-05:00
20,38231984,0.005798,Concert,2666598,Dirty Dozen Brass Band,,
21,38042054,0.002221,Concert,2666598,The Brothers Comatose,,2019-08-18 16:00:00-06:00
22,39042263,0.00068,Concert,2666598,The Yawpers,CITRA,2019-08-22 18:00:00-06:00
