,venue_name,id,capacity,street,zip,latitude,longitude,metro_area,country,city_name
0,Oracle Arena,615,,7000 Coliseum Way,94621,37.7515541,-122.2015715,SF Bay Area,US,Oakland
4,SNHU Arena,30498,,555 Elm Street,03101,42.9860207,-71.463052,Manchester,US,Manchester
5,PNC Arena,1770713,19772.0,1400 Edwards Mill Road,27607,35.803475,-78.721933,Raleigh,US,Raleigh
11,NRG Arena,2590108,8000.0,1 Reliant Park,77054,29.6848334,-95.4081877,Houston,US,Houston
13,BB&T Arena,513066,,500 Louie B. Nunn Dr.,41099,39.03178,-84.46331,Cincinnati,US,Highland Heights
17,SIU Arena,5996,,,62901,37.7272727,-89.2167501,St Louis,US,Carbondale
21,TECO Arena,57383,,,,,,Cape Coral,US,Estero
22,Oracle Arena & O.co Coliseum,2589683,,7000 Coliseum Way,,37.7515541,-122.2015715,SF Bay Area,US,Oakland
27,SRC Arena,1577779,,"4585 West Seneca Tpk, Onondaga Community College",13205,43.003691,-76.19737,Rochester,US,Syracuse
35,NYC Arena,1865623,,91-12 144th Pl.,11435,40.700173,-73.810379,New York,US,Jamaica
41,IMA Arena,110872,,,,,,Detroit,US,Flint
44,DECC Arena,4013174,,,55802,46.7534,-92.06816,Twin Cities,US,Duluth
46,CSU Arena,256256,,,,,,Cleveland,US,Cleveland
47,UTC Arena,332261,,,,,,Charlotte,US,Charlotte
49,LA Arena,401761,,,,,,Los Angeles,US,Panorama City
50,Boondocks Pub,3650229,,2909 N. Dirksen Parkway,62702,39.8461549,-89.6049651,Springfield,US,Springfield
51,Boondocks Pub & Grill,3493509,,,,38.599243,-83.3187952,Manchester,US,Vanceburg
53,The Roxy,928,,279 Tremont Street,02116,42.3500295,-71.0652348,Boston / Cambridge,US,Boston
54,The Roxy Theatre,1300,500.0,9009 W. Sunset Blvd.,90069,34.09071,-118.38797,Los Angeles,US,West Hollywood
55,The Roxy,767556,,7230 West 75th Street,66204,38.9936,-94.66935,Overland Park,US,Overland Park
57,The Roxy,78157,,515 W. 18th St.,10011,40.7451986,-74.0075711,New York,US,New York
58,The Roxy,252001,,2110 E. Highland Ave.,85016,33.5057312,-112.0370168,Phoenix,US,Phoenix
65,The Roxy Lounge,30860,,2549 Welton Street,80205,39.7537204,-104.9796384,Denver,US,Denver
66,The Roxy Encinitas,3499364,,517 S COAST HWY 101,92024,33.0456822,-117.293543,San Diego,US,Encinitas
67,The Roxy Hotel,3120379,200.0,#2 Ave. of the Americas,10013,40.71934,-74.00496,New York,US,New York
69,The Roxy,3159819,,,,39.73924,-104.99025,Denver,US,Denver
73,The Roxy Bamboo Bar,1251081,,927 N. Delaware Ave.,19123,39.96303,-75.135212,Philadelphia,US,Philadelphia
76,The Roxy,4050449,,9009 Sunset Blvd,90069,34.09086,-118.38797,Los Angeles,US,Los Angeles
79,The Roxy Theater,95490,,,,,,San Diego,US,San Diego
81,The Dawn Theater (roxy),1350151,,110 N Broad Street,49242,41.9226363,-84.6320094,Toledo,US,Hillsdale
83,The Roxy Event Center,2687318,,102 S. Joplin Ave,64801,37.0905765,-94.5143051,Springfield,US,Joplin
86,The Roxy,1611553,,909 Vine Street,45202,39.1056639,-84.5141749,Cincinnati,US,Cincinnati
87,The Roxy,3614914,,71 Wall Street,,41.1168744,-73.4138681,Bridgeport,US,Norwalk
88,The Roxy,3333849,,79 Washington Street,02903,41.823807,-71.414551,Providence,US,Providence
89,The Roxy,425941,,,,,,Burlington,US,Burlington
90,The Roxy,107278,,,,,,Tucson,US,Tucson
91,The Roxy,1456158,,367 E Main St,40507,38.042023,-84.491594,Lexington,US,Lexington
92,The Roxy,4341741,,"13419 w 62nd Terrace Shawnee, Ks",66216,39.01534,-94.74159,Overland Park,US,Shawnee
97,The Roxy Theatre,4085449,,,,,,Atlanta,US,Atlanta
99,The Roxy Ballroom,129404,,,,,,Atlanta,US,Atlanta
100,The Roxy Theatre,2455444,,827 Meridian St,,36.185942,-86.767791,Nashville,US,Nashville
101,The Roxy Theater,1642643,,120 N 2nd St,,46.247819,-114.156737,Hamilton,US,Hamilton
102,Tennessee Theatre,683,,604 S. Gay St.,37902,35.964137,-83.917552,Knoxville,US,Knoxville
103,Tennessee Theatre,45121,,,,,,Nashville,US,Nashville
104,Tennessee Williams Theatre,407901,,5901 College Road,33040,24.5843489,-81.744976,Key West,US,Key West
105,"Clarence Brown Theatre, University of Tennessee",978631,,1714 Andy Holt Ave.,37996,35.9534143,-83.930456,Knoxville,US,Knoxville
106,Scheels Arena,1164826,,5225 31st Ave South,58104,46.83555,-96.8761,Fargo,US,Fargo
107,San Manuel Casino,1193,,777 San Manuel Boulevard,92346,34.1503014,-117.2286606,Los Angeles,US,Highland
108,"Rock & Brews, San Manuel Casino",3508014,200.0,777 San Manuel Blvd,92346,34.1504981,-117.229242,Los Angeles,US,Highland
109,Tukut Lounge at San Manuel Casino,4170279,,777 San Manuel Blvd,92346,34.15058,-117.22914,Los Angeles,US,Highland
110,"Murat Theatre, Old National Centre",535651,2681,502 N New Jersey St,46204,39.77465,-86.1515,Indianapolis,US,Indianapolis
111,"Wang Theatre, Boch Center",886876,,270 Tremont Street,02116,42.35003,-71.06523,Boston / Cambridge,US,Boston
112,Boch Center Wang Theatre,4012654,3500.0,270 Tremont St,02116,42.35028,-71.06496,Boston / Cambridge,US,Boston
