Opened,Venue,City,Capacity
Alabama,Alabama,Alabama,Alabama
26-Dec-27,Alabama Theatre,Birmingham,"2,176"
1929,Iron City,Birmingham,"1,300"
1927,Legion Field,Birmingham,"71,594"
1976,Legacy Arena at the BJCC,Birmingham,"17,654"
1989,Zydeco[citation needed],Birmingham,600
Unknown,Wells Fargo Arena,Dothan,"3,000"
1948,The Shoals Theatre[citation needed],Florence,"1,166"
14-Mar-75,Von Braun Center Arena,Huntsville,"13,760"
Unknown,The Wharf Amphitheater,Orange Beach,"10,000"
Unknown,Oak Mountain Amphitheatre,Pelham,"10,500"
2-Apr-11,Tuscaloosa Amphitheater,Tuscaloosa,"7,470"
Alaska,Alaska,Alaska,Alaska
5-Sep-14,Alaska Airlines Center,Anchorage,"5,000"
"February 8, 1983,",Sullivan Arena,Anchorage,"8,751"
13-Jun-90,Carlson Center,Fairbanks,"6,539"
Arizona,Arizona,Arizona,Arizona
26-Dec-03,Gila River Arena,Glendale,"19,000"
1-Aug-06,State Farm Stadium,Glendale,"72,200 (standing: 78,600)"
6-Jun-92,Talking Stick Resort Arena,Phoenix,"18,150"
11-Nov-90,Ak-Chin Pavilion,Phoenix,"20,000"
31-Mar-98,Chase Field,Phoenix,"48,519"
11-Apr-02,Comerica Theatre,Phoenix,"1,900–5,000"
1917,Crescent Ballroom,Phoenix,550
1929,Orpheum Theatre,Phoenix,"1,364"
1963,Celebrity Theatre,Phoenix,"2,650"
29-Apr-74,Wells Fargo Arena,Tempe,"10,754 (expandable to: 11,012)"
1993,Marquee Theatre,Tempe,"2,500+"
1974,Tucson Arena,Tucson,"9,275"
11-Apr-30,Fox Theatre,Tucson,"1,197"
1922,Rialto Theatre,Tucson,"1,200"
Arkansas,Arkansas,Arkansas,Arkansas
18-Sep-48,War Memorial Stadium,Little Rock,"53,955"
1952,Barton Coliseum,Little Rock,"7,150"
2-Oct-99,Verizon Arena,North Little Rock,"18,000"
12-Apr-07,Dickey–Stephens Park,North Little Rock,"7,201"
2014,Walmart Arkansas Music Pavilion,Rogers,"9,500"
California,California,California,California
19-Jun-93,Honda Center,Anaheim,"18,325 (theater: 8,400)"
19-Apr-66,Angel Stadium,Anaheim,"45,957"
Unknown,City National Grove of Anaheim,Anaheim,"1,700"
2001,House of Blues,Anaheim,"1,100"
1-Jun-03,Dignity Health Sports Park,Carson,"30,510"
Oct-22,Rose Bowl,Pasadena,"92,000"
"May, 1975",Concord Pavilion,Concord,"12,500"
2007,The Fonda Theatre,Hollywood,"1,200"
31-Oct-40,Hollywood Palladium,Hollywood,"3,700"
23-Sep-73,The Roxy,Hollywood,500
16-Jan-64,Whisky a Go Go,West Hollywood,250
30-Dec-67,The Forum,Inglewood,"17,500 (The Bowl: 7,000)"
Aug-19,Los Angeles Stadium at Hollywood Park,Inglewood,"70,000–100,000"
1978,Long Beach Convention and Entertainment Center,Long Beach,"9,700 (Top of the Lot)  2,272 (Grand Ballroom)   13,200 (Long Beach Arena)"
17-Oct-99,Staples Center,Los Angeles,"19,000"
1920s,Hollywood Bowl,Los Angeles,"17,376"
10-Apr-62,Dodger Stadium,Los Angeles,"57,000"
25-Sep-30,The Greek Theatre,Los Angeles,"5,870"
1-May-23,Los Angeles Memorial Coliseum,Los Angeles,"93,610"
1926,Shrine Auditorium,Los Angeles,"6,300"
18-Oct-07,Microsoft Theater,Los Angeles,"7,100[12]"
9-Nov-08,The Novo by Microsoft,Los Angeles,"2,300[13]"
15-Feb-26,Orpheum Theatre,Los Angeles,"2,000"
4-Jun-30,Pantages Theatre,Los Angeles,"2,703"
1929,Royce Hall,Los Angeles,"1,800"
1931[14],The Wiltern,Los Angeles,"1,850–2,300[14]"
1994,House of Blues,Los Angeles,"1,100"
Apr-41,Cow Palace,Daly City,"16,500"
1998,Fox Theater,Pomona,"1,802"
18-Oct-08,Citizens Business Bank Arena,Ontario,"11,089"
1982,Glen Helen Amphitheater,San Bernardino,"65,000"
17-Nov-66,Pechanga Arena,San Diego,"14,800"
24-Jul-97,Viejas Arena,San Diego,"12,210"
8-Apr-04,Petco Park,San Diego,"41,164"
20-Aug-67,SDCCU Stadium,San Diego,"70,100"
1980s,Humphrey's Concerts by the Bay[15],San Diego,"1,400"
1924; reopened 2008,Balboa Theatre,San Diego,"1,339"
Unknown,Music Box[citation needed],San Diego,800 (500 on the first floor)
2005,House of Blues,San Diego,"1,100"
1936,Starlight Bowl,San Diego,"4,300"
1936,Santa Barbara Bowl,Santa Barbara,"4,562"
1931,Arlington Theater,Santa Barbara,"2,000"
1-Oct-98,Rabobank Arena,Bakersfield,"10,400"
2007,Spectrum Amphitheatre,Bakersfield,"4,000"
27-Nov-03,Save Mart Center,Fresno,"16,182"
11-Oct-66,Selland Arena,Fresno,"11,300"
1909,The Grand,San Francisco,"1,424 (General Admission)"
13-May-22,The Warfield,San Francisco,"2,300"
29-Sep-58,SF Masonic Auditorium,San Francisco,"3,165"
Unknown,The Mezzanine,San Francisco,Unknown
Unknown,The Independent,San Francisco,500
1907,Great American Music Hall,San Francisco,600
1926,Orpheum Theatre,San Francisco,"2,203"
11-Apr-00,AT&T Park,San Francisco,"41,920"
Sep-19,Chase Center,San Francisco,"18,000"
1915,Bill Graham Civic Auditorium,San Francisco,"7,000"
Oct-16,Golden 1 Center,Sacramento,"17,500 (expandable to 19,000)"
1986,Shoreline Amphitheatre,Mountain View,"22,500 (6,500 reserved seats, 16,000 general admission)"
17-Jul-14,Levi's Stadium,Santa Clara,"68,500[16]"
Unknown,Toyota Amphitheatre,Wheatland,"18,500 (8,000 reserved seats, 10,500 unreserved lawn seats)"
21-Jul-98,Mattress Firm Amphitheatre,Chula Vista,"19,492"
2-Dec-05,Stockton Arena,Stockton,"10,414"
7-Sep-93,SAP Center,San Jose,"19,190"
17-May-89,Event Center Arena,San Jose,"7,000"
1933,City National Civic,San Jose,"3,500"
9-Nov-66,Oracle Arena,Oakland,"20,000"
1931,Paramount Theatre,Oakland,"3,040"
1928,Fox Oakland Theatre,Oakland,"2,800"
Colorado,Colorado,Colorado,Colorado
"July 4, 1898",Chautauqua Auditorium,Boulder,"1,300[17]"
Opened 1926;,Fox Theatre,Boulder,625[18]
9-Nov-06,1stBank Center,Broomfield,"7,000"
1982,Pikes Peak Center,Colorado Springs,"2,000 (Orchestra and loge: 1,171; Mezzanine: 290; Balcony: 528)"
7-Apr-07,Dick's Sporting Goods Park,Commerce City,"27,000"
1914,Bluebird Theater,Denver,550
10-Sep-01,Broncos Stadium at Mile High,Denver,"76,125"
1-Oct-99,Pepsi Center,Denver,"21,000"
Dec-51,Denver Coliseum,Denver,"10,500 (theater: 4,810)"
1919,Ogden Theatre,Denver,"1,600"
1930,Paramount Theatre,Denver,"1,870"
1907; reopened 1986,Fillmore Auditorium,Denver,"3,700"
1927,Oriental Theatre,Denver,1-707[19]
15-Sep-99,Magness Arena,Denver,"up to 8,000"
1-Mar-05,Bellco Theatre,Denver,"5,000"
1920s,Gothic Theatre,Englewood,999[20]
1982,Fiddler's Green Amphitheatre,Greenwood Village,"17,000[21]"
20-Sep-03,Budweiser Events Center,Loveland,"7,200[22]"
1928,Red Rocks Amphitheater,Morrison,"9,450"
Connecticut,Connecticut,Connecticut,Connecticut
30-Aug-03,Rentschler Field,East Hartford,"40,642"
1995,Xfinity Theatre,Hartford,"30,000 (7,500 indoor)"
9-Jan-75,XL Center,Hartford,"19,321"
1957,Toyota Oakdale Theatre,Wallingford,"Theater: 4,803The Dome: 1,649"
Oct-01,Mohegan Sun Arena,Uncasville,"12,000"
1986,Foxwoods Resort Casino,Mashantucket,"4,000"
District of Columbia,District of Columbia,District of Columbia,District of Columbia
1961,RFK Memorial Stadium,Washington,"45,600"
2008,Nationals Park,Washington,"41,418"
1997,Capital One Arena,Washington,"19,945"
1941,D.C. Armory,Washington,"10,000"
2012,Echostage,Washington,"4,000"
1950,Carter Barron Amphitheatre,Washington,"4,000"
1929,DAR Constitution Hall,Washington,"3,702"
12-Oct-17,The Anthem,Washington,"2,500–6,000"
1924,Warner Theatre,Washington,"1,847"
1923,National Theatre,Washington,"1,676"
1922,Lincoln Theatre,Washington,"1,225"
1980,9:30 Club,Washington,"1,200"
1910,Howard Theatre,Washington,"1,000"
1993,Black Cat,Washington,800
2010,U Street Music Hall,Washington,500
Florida,Florida,Florida,Florida
28-Nov-03,Jacksonville Veterans Memorial Arena,Jacksonville,"15,000"
1927; reopened 1983,Florida Theatre,Jacksonville,"1,900"
May-17,Daily's Place,Jacksonville,"5,500"
18-Aug-95,TIAA Bank Field,Jacksonville,"69,132"
1-Oct-10,Amway Center,Orlando,"16,486"
late1921,The Beacham,Orlando,"1,250"
1997,House of Blues,Orlando,"2,100"
1926,Bob Carr Theater,Orlando,"2,518"
8-Sep-07,CFE Arena,Orlando,"10,072"
6-Nov-14,Dr. Phillips Center for the Performing Arts,Orlando,"2,731 (Walt Disney Theater)400 (DeVos Family Room)294 (Alexis & Jim Pugh Theater)"
