,is_presale,num_markets,sold_out,popularity_sk,days_to_event,Capacity
0,1,1.0,1.0,0.124282,246,17500
1,1,1.0,0.0,0.363619,254,17500
2,1,1.0,0.0,0.363619,107,17500
3,1,1.0,0.0,0.363619,107,17500
4,0,2.0,0.0,0.08081,119,14000
5,1,2.0,0.0,0.08081,143,14000
6,1,1.0,0.0,0.666628,337,17500
7,1,1.0,0.0,0.48186,261,68500
8,1,1.0,0.0,0.069283,54,17500
9,0,2.0,0.0,0.353977,123,14000
10,1,2.0,0.0,0.353977,162,14000
11,1,1.0,0.0,0.021329,183,7470
12,0,2.0,0.0,0.08081,144,14000
13,1,2.0,0.0,0.08081,185,14000
14,1,2.0,0.0,0.08081,199,14000
15,1,1.0,0.0,0.335149,170,17500
16,0,2.0,0.0,0.480598,126,14000
17,0,2.0,0.0,0.480598,126,14000
18,1,3.0,0.0,0.07695,106,82680
19,1,1.0,0.0,0.021329,169,7470
20,1,1.0,0.0,0.021329,183,7470
21,1,2.0,0.0,0.146425,301,17812
22,1,2.0,0.0,0.042381,107,17812
23,1,1.0,1.0,0.038748000000000005,134,4300
24,1,1.0,0.0,0.021329,120,7470
25,1,4.0,0.0,0.146425,246,19600
26,1,2.0,0.0,0.15529400000000002,178,17812
27,1,2.0,0.0,0.448653,256,17812
28,1,2.0,0.0,0.335149,256,17812
29,0,1.0,0.0,0.0,236,3100
30,1,2.0,0.0,0.085551,217,18500
31,1,2.0,1.0,0.138219,175,17812
32,1,2.0,0.0,0.333328,190,18500
33,1,2.0,0.0,0.15529400000000002,199,18500
34,0,1.0,0.0,0.0,96,3100
35,1,2.0,0.0,0.146425,305,19350
36,0,1.0,0.0,0.0,194,3100
37,1,2.0,0.0,0.220074,182,18500
38,1,1.0,0.0,0.029468,143,2362
39,1,4.0,0.0,0.036959,151,19600
40,1,1.0,0.0,0.100277,63,2362
41,1,4.0,0.0,0.362472,130,19600
42,1,2.0,0.0,0.666628,75,17812
43,1,1.0,1.0,0.029468,157,2362
44,1,4.0,0.0,0.328562,82,19600
45,1,4.0,0.0,0.15529400000000002,99,19600
46,1,2.0,0.0,0.056606,110,17812
47,1,2.0,0.0,0.15529400000000002,104,15000
48,1,1.0,0.0,0.005629,46,4298
49,1,1.0,0.0,0.031595,124,2362
50,1,1.0,0.0,0.031595,158,2362
51,1,1.0,0.0,0.13716099999999998,74,2362
52,1,1.0,1.0,0.02187,201,2362
53,1,2.0,0.0,0.362472,119,18500
54,1,1.0,0.0,0.13717100000000002,136,2362
55,1,4.0,0.0,0.28112800000000004,167,19600
56,1,1.0,0.0,0.48186,274,77500
57,1,4.0,0.0,0.271571,453,19600
58,1,1.0,1.0,0.000252,162,1000
59,0,1.0,0.0,0.031595,102,2362
60,1,2.0,0.0,0.362472,134,19350
61,1,2.0,0.0,0.448653,279,17812
62,1,1.0,0.0,0.217099,84,1300
63,1,1.0,0.0,0.005629,147,4298
64,1,1.0,0.0,0.128789,109,2362
65,1,2.0,0.0,0.15529400000000002,96,19350
66,0,1.0,0.0,0.0,149,3100
67,1,1.0,0.0,0.029631,275,2362
68,1,4.0,0.0,0.271571,274,19600
69,1,2.0,1.0,0.017495,184,18500
70,1,1.0,1.0,0.056694000000000015,211,6800
71,1,2.0,0.0,0.474684,144,19350
72,1,1.0,0.0,0.137454,121,4200
73,0,1.0,0.0,0.137454,95,4200
74,1,2.0,0.0,0.06997,218,18500
75,0,1.0,0.0,0.007731,91,2000
76,1,4.0,0.0,0.279612,62,19600
77,1,1.0,0.0,0.028228,306,2362
78,1,4.0,0.0,0.335149,224,19600
79,1,4.0,0.0,0.216022,83,19600
80,1,2.0,0.0,0.013599000000000002,211,18500
81,1,2.0,0.0,0.06997,224,18500
82,1,1.0,0.0,0.036138,184,4298
83,1,1.0,0.0,0.293527,152,17376
84,1,1.0,0.0,0.170422,81,18150
85,1,1.0,0.0,0.48186,265,92000
86,0,1.0,0.0,0.003867,225,1800
87,0,1.0,0.0,0.0,61,3100
88,1,1.0,0.0,0.086426,181,8300
89,1,1.0,0.0,0.009916,106,10002
90,1,1.0,0.0,0.009916,190,10002
91,1,1.0,0.0,0.333328,196,19945
92,0,1.0,0.0,0.036119,69,4086
93,1,2.0,0.0,0.666628,84,19350
94,0,1.0,0.0,0.0,96,3100
95,1,2.0,0.0,0.220074,210,18500
96,1,2.0,0.0,0.146425,278,21500
97,1,4.0,0.0,0.422184,203,19600
98,1,2.0,0.0,0.153954,69,18500
99,0,1.0,0.0,0.0,135,3100
100,1,1.0,0.0,0.002991,139,15274
101,1,1.0,0.0,0.031595,95,2362
102,0,1.0,0.0,0.015279,78,10002
103,1,1.0,0.0,0.031595,67,2362
104,1,1.0,1.0,0.220074,204,10002
105,1,4.0,1.0,0.087289,247,19600
106,0,1.0,0.0,0.131719,93,4200
107,1,1.0,0.0,0.028057,606,17500
108,1,2.0,0.0,0.02434,182,13390
109,0,1.0,0.0,0.13717100000000002,66,2362
110,1,2.0,1.0,0.187569,176,21500
111,1,1.0,1.0,0.043704,162,15274
112,1,1.0,0.0,0.100277,266,2362
113,1,4.0,0.0,0.362472,186,19600
114,1,1.0,1.0,0.029468,164,2362
115,1,1.0,0.0,0.085677,252,15274
116,1,2.0,1.0,0.087289,252,17812
117,1,1.0,0.0,0.211526,162,15274
118,0,1.0,0.0,0.0,152,3100
119,1,1.0,0.0,0.003716,69,800
120,1,1.0,0.0,0.211526,156,15274
121,1,1.0,0.0,0.021329,182,8300
122,1,1.0,0.0,0.15529400000000002,211,17500
123,1,1.0,0.0,0.474684,174,17500
124,1,1.0,0.0,0.026953,78,10387
125,1,1.0,0.0,0.036138,135,4298
126,1,1.0,0.0,0.128252,156,2400
127,1,2.0,0.0,0.474684,127,19350
128,1,1.0,1.0,0.118864,160,15274
129,1,1.0,1.0,0.118864,161,15274
130,1,2.0,0.0,0.005446,140,12036
131,1,1.0,0.0,0.000252,90,2040
132,1,1.0,0.0,0.165389,567,21371
133,1,1.0,0.0,0.027165,258,2800
134,1,1.0,0.0,0.193969,201,18000
135,1,1.0,0.0,0.040178,88,10002
136,1,1.0,0.0,0.030769,95,800
137,1,1.0,0.0,0.031595,102,2362
138,1,1.0,0.0,0.031516,74,1000
139,1,1.0,0.0,0.068719,268,17500
140,1,2.0,0.0,0.335149,98,21500
141,0,1.0,0.0,0.021057,114,10500
142,1,1.0,1.0,0.118864,153,15274
143,1,1.0,0.0,0.146425,334,19945
144,1,1.0,0.0,0.07968,212,10002
145,1,1.0,0.0,0.404712,225,17500
146,1,1.0,0.0,0.06997,267,17500
147,1,2.0,0.0,0.17466199999999998,155,13390
148,1,1.0,0.0,0.362472,226,17500
149,1,1.0,0.0,0.0,75,2362
150,1,2.0,0.0,0.216022,409,19350
151,0,1.0,0.0,3.6e-05,113,10045
152,0,1.0,0.0,0.0,236,3100
153,0,1.0,0.0,0.029881,119,1300
154,1,1.0,0.0,0.666628,100,19945
155,1,2.0,0.0,0.06997,85,18500
156,1,1.0,1.0,0.118864,154,15274
157,1,1.0,0.0,0.035998,162,2400
158,1,2.0,0.0,0.043005,156,19350
159,1,4.0,0.0,0.216022,419,19600
160,1,4.0,0.0,0.328562,186,19600
161,1,2.0,0.0,0.163117,279,19350
162,0,1.0,0.0,0.023056,121,2362
163,1,1.0,1.0,0.422184,218,18150
164,1,2.0,0.0,0.216022,264,19000
165,1,2.0,0.0,0.128789,68,12036
166,1,1.0,0.0,0.328562,271,17500
167,1,1.0,0.0,0.353977,135,2400
168,1,1.0,0.0,0.198772,165,15274
169,0,1.0,0.0,0.0,152,3100
170,1,1.0,0.0,0.328562,125,17500
171,1,1.0,0.0,0.000104,190,2400
172,1,4.0,0.0,0.216022,332,19600
173,1,1.0,0.0,0.028863,63,11000
174,1,1.0,0.0,0.06997,240,18150
175,1,1.0,0.0,0.005629,147,4298
176,1,1.0,0.0,0.057033000000000014,282,20000
177,1,1.0,0.0,0.128789,151,2362
178,1,1.0,0.0,0.266251,197,18150
179,0,1.0,0.0,0.023056,124,2362
180,1,1.0,0.0,0.067656,203,18000
